10185-1464085077-1854856,tackt,ick,reg,vecrwacr,erydit,@,bei,
11279-1464371480-2055319,tk,k,reg,v@rwacr,@r@dit,@n,bei,
11437-1464117651-1880722,t@k,ick,reg,fecrwacrt,@r@dit,@n,bei,
11438-1464215481-1950240,tk,ick,reg,v@rwacr,erydit,@n,bei,
11665-1464188599-1920309,t@k,k,rek,fecrwacrt,erydit,@,bei,
12233-1464367044-2050205,t@kt,ick,reg@,fecrwacrt,@r@dit,@,bei,
12923-1464632215-2156993,tackt,ick,rek@n,fecrwacr,erydit,@n,bei,
13042-1464200687-1933060,t@k,ick,reg@,v@rwacr,erydit,@,bei,
13411-1464712980-2174930,t@k,ick,reg,f@rwacr,erydit,@n,bei,
13856-1464274004-1969424,tackt,ick,rek,f@rwacrt,erydit,@,bei,
14112-1466319814-2340477,t@k,ick,rek,f@rwacrt,icrycdit,n,bei,
14576-1464469394-2108389,t@k,ick,reg,f@rwacr,icrycdit,@n,bei,
15260-1464544510-2129406,t@kt,ick,rek@n,v@rwacrt,@r@dit,n,bei,
15527-1466446534-2349332,tackt,ick,regn,vecrwacr,icrycdit,@n,bei,
16245-1469550255-2414605,t@k,ick,reg,v@rwacr,erydit,@,bei,
16266-1464425133-2081151,tkt,ick,rek@n,vecrwacrt,@r@dit,@,bei,
16334-1464157217-1897543,tk,ick,reg@,f@rwacrt,icrycdit,@,bei,
16681-1465940248-2317398,tk,ick,reg@,fecrwacrt,icrycdit,n,bei,
1669-1449359662-324815,tk,ick,reg@,f@rwacrt,icrycdit,@n,bei,
16704-1465676338-2301531,tackt,ick,rek@n,fecrwacrt,erydit,@,bei,
16771-1466358606-2343009,t@k,k,reg@n,vecrwacr,@r@dit,@,bei,
1687-1449169028-119951,t@k,ick,reg@n,f@rwacrt,icrycdit,@n,bei,
1707-1449562749-468614,tk,ick,rek,v@rwacr,erydit,@,bei,
17145-1472490465-2475661,tackt,ick,regn,vecrwacr,erydit,n,bei,
17301-1472375859-2458566,tackt,ick,rek@n,v@rwacr,icrycdit,@,bei,
17402-1473109970-2483281,tackt,ick,reg,fecrwacrt,icrycdit,@n,bei,
203-1449161118-96221,tackt,k,reg,v@rwacrt,erydit,@n,bei,
214-1449569931-472656,t@k,k,reg,fecrwacrt,erydit,@,bei,
2409-1449654791-525051,tk,ick,reg,f@rwacrt,erydit,@,bei,
2499-1449341989-307812,tk,k,reg@,v@rwacrt,@rydit,@n,bei,
2825-1450546013-725765,t@k,k,rek,fecrwacr,icrycdit,n,bei,
2963-1449519924-453956,tk,k,regn,f@rwacr,erydit,n,bei,
298-1449771816-575184,tk,ick,rek@,f@rwacrt,@r@dit,@n,bei,
299-1449161535-95688,tackt,ick,rek@n,v@rwacr,icrycdit,@n,bei,
3054-1449441078-404764,t@k,k,reg,f@rwacr,icrycdit,n,bei,
3282-1449505423-434401,tk,ick,reg@,vecrwacrt,icrycdit,@n,bei,
333-1449236564-195965,tackt,ick,rek@n,fecrwacr,icrycdit,@n,bei,
3354-1449517913-451029,t@k,ick,rek@,v@rwacr,@r@dit,@,bei,
3385-1450452536-716771,t@k,k,reg,v@rwacr,icrycdit,@n,bei,
3526-1453504835-920499,tk,k,reg@,v@rwacr,erydit,@,bei,
3966-1449926726-608860,tk,ick,rek@n,vecrwacr,@r@dit,@,bei,
3984-1450772361-760462,tackt,ick,reg@,v@rwacrt,erydit,@n,bei,
4111-1450004636-636314,t@k,ick,rek@n,v@rwacr,@rydit,@,bei,
4357-1450262902-695447,tack,ick,rek@n,fecrwacrt,@rydit,@,bei,
4378-1450525564-722548,t@k,ick,reg@,f@rwacrt,icrycdit,@n,bei,
4406-1452360792-877784,tk,ick,reg,f@rwacrt,erydit,@,bei,
4616-1450896904-770556,t@k,k,reg,f@rwacrt,erydit,n,bei,
4725-1451143827-786731,tk,k,rek@n,fecrwacrt,erydit,@n,bei,
4766-1451504616-827616,t@k,k,reg,vecrwacrt,erydit,@n,bei,
4895-1451512640-828928,tk,k,reg,f@rwacrt,icrycdit,@,bei,
4923-1453397656-915604,tackt,ick,reg@,v@rwacrt,erydit,@,bei,
5153-1457516495-946417,tk,ick,rek@n,v@rwacr,erydit,@n,bei,
5383-1454010629-993536,tk,ick,rek@n,f@rwacrt,icrycdit,@n,bei,
5669-1454599938-1328429,tackt,k,reg,v@rwacrt,icrycdit,@,bei,
6225-1454062284-1072163,tk,ick,rek@n,fecrwacrt,@r@dit,@,bei,
6259-1455285378-1430726,t@k,ick,rek@n,f@rwacrt,icrycdit,@,bei,
7039-1454586849-1322740,tk,k,reg@n,f@rwacrt,erydit,n,bei,
7055-1458853097-1705455,tk,k,regn,v@rwacr,erydit,@,bei,
7140-1454520550-1291927,t@k,k,rek@n,f@rwacrt,erydit,@n,bei,
