10185-1464085077-1854856,tackt,ick,reg,vecrwacr,erydit,@,bei,Groningen_and_Drenthe
11279-1464371480-2055319,tk,k,reg,v@rwacr,@r@dit,@n,bei,Groningen_and_Drenthe
11437-1464117651-1880722,t@k,ick,reg,fecrwacrt,@r@dit,@n,bei,Groningen_and_Drenthe
11438-1464215481-1950240,tk,ick,reg,v@rwacr,erydit,@n,bei,Groningen_and_Drenthe
11665-1464188599-1920309,t@k,k,rek,fecrwacrt,erydit,@,bei,Groningen_and_Drenthe
12233-1464367044-2050205,t@kt,ick,reg@,fecrwacrt,@r@dit,@,bei,Groningen_and_Drenthe
12923-1464632215-2156993,tackt,ick,rek@n,fecrwacr,erydit,@n,bei,Groningen_and_Drenthe
13042-1464200687-1933060,t@k,ick,reg@,v@rwacr,erydit,@,bei,Groningen_and_Drenthe
13411-1464712980-2174930,t@k,ick,reg,f@rwacr,erydit,@n,bei,Groningen_and_Drenthe
13856-1464274004-1969424,tackt,ick,rek,f@rwacrt,erydit,@,bei,Groningen_and_Drenthe
14112-1466319814-2340477,t@k,ick,rek,f@rwacrt,icrycdit,n,bei,Groningen_and_Drenthe
14576-1464469394-2108389,t@k,ick,reg,f@rwacr,icrycdit,@n,bei,Groningen_and_Drenthe
15260-1464544510-2129406,t@kt,ick,rek@n,v@rwacrt,@r@dit,n,bei,Groningen_and_Drenthe
15527-1466446534-2349332,tackt,ick,regn,vecrwacr,icrycdit,@n,bei,Groningen_and_Drenthe
16245-1469550255-2414605,t@k,ick,reg,v@rwacr,erydit,@,bei,Groningen_and_Drenthe
16266-1464425133-2081151,tkt,ick,rek@n,vecrwacrt,@r@dit,@,bei,Groningen_and_Drenthe
16334-1464157217-1897543,tk,ick,reg@,f@rwacrt,icrycdit,@,bei,Groningen_and_Drenthe
16681-1465940248-2317398,tk,ick,reg@,fecrwacrt,icrycdit,n,bei,Groningen_and_Drenthe
1669-1449359662-324815,tk,ick,reg@,f@rwacrt,icrycdit,@n,bei,Groningen_and_Drenthe
16704-1465676338-2301531,tackt,ick,rek@n,fecrwacrt,erydit,@,bei,Groningen_and_Drenthe
16771-1466358606-2343009,t@k,k,reg@n,vecrwacr,@r@dit,@,bei,Groningen_and_Drenthe
1687-1449169028-119951,t@k,ick,reg@n,f@rwacrt,icrycdit,@n,bei,Groningen_and_Drenthe
1707-1449562749-468614,tk,ick,rek,v@rwacr,erydit,@,bei,Groningen_and_Drenthe
17145-1472490465-2475661,tackt,ick,regn,vecrwacr,erydit,n,bei,Groningen_and_Drenthe
17301-1472375859-2458566,tackt,ick,rek@n,v@rwacr,icrycdit,@,bei,Groningen_and_Drenthe
17402-1473109970-2483281,tackt,ick,reg,fecrwacrt,icrycdit,@n,bei,Groningen_and_Drenthe
203-1449161118-96221,tackt,k,reg,v@rwacrt,erydit,@n,bei,Groningen_and_Drenthe
214-1449569931-472656,t@k,k,reg,fecrwacrt,erydit,@,bei,Groningen_and_Drenthe
2409-1449654791-525051,tk,ick,reg,f@rwacrt,erydit,@,bei,Groningen_and_Drenthe
2499-1449341989-307812,tk,k,reg@,v@rwacrt,@rydit,@n,bei,Groningen_and_Drenthe
2825-1450546013-725765,t@k,k,rek,fecrwacr,icrycdit,n,bei,Groningen_and_Drenthe
2963-1449519924-453956,tk,k,regn,f@rwacr,erydit,n,bei,Groningen_and_Drenthe
298-1449771816-575184,tk,ick,rek@,f@rwacrt,@r@dit,@n,bei,Groningen_and_Drenthe
299-1449161535-95688,tackt,ick,rek@n,v@rwacr,icrycdit,@n,bei,Groningen_and_Drenthe
3054-1449441078-404764,t@k,k,reg,f@rwacr,icrycdit,n,bei,Groningen_and_Drenthe
3282-1449505423-434401,tk,ick,reg@,vecrwacrt,icrycdit,@n,bei,Groningen_and_Drenthe
333-1449236564-195965,tackt,ick,rek@n,fecrwacr,icrycdit,@n,bei,Groningen_and_Drenthe
3354-1449517913-451029,t@k,ick,rek@,v@rwacr,@r@dit,@,bei,Groningen_and_Drenthe
3385-1450452536-716771,t@k,k,reg,v@rwacr,icrycdit,@n,bei,Groningen_and_Drenthe
3526-1453504835-920499,tk,k,reg@,v@rwacr,erydit,@,bei,Groningen_and_Drenthe
3966-1449926726-608860,tk,ick,rek@n,vecrwacr,@r@dit,@,bei,Groningen_and_Drenthe
3984-1450772361-760462,tackt,ick,reg@,v@rwacrt,erydit,@n,bei,Groningen_and_Drenthe
4111-1450004636-636314,t@k,ick,rek@n,v@rwacr,@rydit,@,bei,Groningen_and_Drenthe
4357-1450262902-695447,tack,ick,rek@n,fecrwacrt,@rydit,@,bei,Groningen_and_Drenthe
4378-1450525564-722548,t@k,ick,reg@,f@rwacrt,icrycdit,@n,bei,Groningen_and_Drenthe
4406-1452360792-877784,tk,ick,reg,f@rwacrt,erydit,@,bei,Groningen_and_Drenthe
4616-1450896904-770556,t@k,k,reg,f@rwacrt,erydit,n,bei,Groningen_and_Drenthe
4725-1451143827-786731,tk,k,rek@n,fecrwacrt,erydit,@n,bei,Groningen_and_Drenthe
4766-1451504616-827616,t@k,k,reg,vecrwacrt,erydit,@n,bei,Groningen_and_Drenthe
4895-1451512640-828928,tk,k,reg,f@rwacrt,icrycdit,@,bei,Groningen_and_Drenthe
4923-1453397656-915604,tackt,ick,reg@,v@rwacrt,erydit,@,bei,Groningen_and_Drenthe
5153-1457516495-946417,tk,ick,rek@n,v@rwacr,erydit,@n,bei,Groningen_and_Drenthe
5383-1454010629-993536,tk,ick,rek@n,f@rwacrt,icrycdit,@n,bei,Groningen_and_Drenthe
5669-1454599938-1328429,tackt,k,reg,v@rwacrt,icrycdit,@,bei,Groningen_and_Drenthe
6225-1454062284-1072163,tk,ick,rek@n,fecrwacrt,@r@dit,@,bei,Groningen_and_Drenthe
6259-1455285378-1430726,t@k,ick,rek@n,f@rwacrt,icrycdit,@,bei,Groningen_and_Drenthe
7039-1454586849-1322740,tk,k,reg@n,f@rwacrt,erydit,n,bei,Groningen_and_Drenthe
7055-1458853097-1705455,tk,k,regn,v@rwacr,erydit,@,bei,Groningen_and_Drenthe
7140-1454520550-1291927,t@k,k,rek@n,f@rwacrt,erydit,@n,bei,Groningen_and_Drenthe
7275-1456400367-1483996,tackt,k,reg@,v@rwacr,icrycdit,@n,bei,Groningen_and_Drenthe
7440-1454957170-1392727,t@k,k,reg,v@rwacr,erydit,@n,bei,Groningen_and_Drenthe
7470-1455010370-1400168,tk,ick,rek@n,fecrwacr,icrycdit,@,bei,Groningen_and_Drenthe
7790-1456078723-1491888,t@kt,ick,regn,f@rwacrt,@rydit,@n,bei,Groningen_and_Drenthe
7955-1463165998-1812851,tk,ick,reg@,fecrwacr,erydit,n,bei,Groningen_and_Drenthe
7961-1456579294-1532320,t@k,ick,rek@n,v@rwacr,erydit,@,bei,Groningen_and_Drenthe
8404-1458301247-1677746,tackt,ick,rek@n,fecrwacr,erydit,n,bei,Groningen_and_Drenthe
8674-1457954309-1637300,t@k,ick,reg@n,fecrwacrt,icrycdit,@n,bei,Groningen_and_Drenthe
8763-1458205791-1666264,t@k,ick,reg,vecrwacr,icrycdit,@,bei,Groningen_and_Drenthe
8834-1458057383-1660741,tk,k,reg,f@rwacrt,erydit,@n,bei,Groningen_and_Drenthe
8937-1459253920-1717810,t@k,k,reg@,v@rwacrt,erydit,@n,bei,Groningen_and_Drenthe
8963-1458484781-1689426,tk,ick,reg@,f@rwacr,@r@dit,@n,bei,Groningen_and_Drenthe
9363-1462390956-1799750,t@k,ick,reg@n,fecrwacr,erydit,@,bei,Groningen_and_Drenthe
9571-1463950986-1846058,tk,ick,rek@n,f@rwacr,@r@dit,n,bei,Groningen_and_Drenthe
9623-1463764946-1834339,t@k,ick,reg@,f@rwacr,icrycdit,@n,bei,Groningen_and_Drenthe
9789-1464980450-2225409,tk,ick,rek@n,v@rwacrt,erydit,@n,bei,Groningen_and_Drenthe
9935-1464218185-1951633,t@k,k,reg@,v@rwacrt,erydit,@n,bei,Groningen_and_Drenthe
10015-1465415427-2278641,tk,ick,rek,f@rwacrt,@r@dit,@n,bei,Limburg
10029-1466014261-2321505,tackt,ick,reg@,v@rwacr,erydit,n,bei,Limburg
10038-1465763432-2308304,t@k,k,reg@,f@rwacr,icrycdit,@,bei,Limburg
10241-1464791912-2190334,tk,ick,rek@n,v@rwacr,@r@dit,@n,bei,Limburg
10267-1464460162-2101311,tk,ick,rek@n,vecrwacr,erydit,@,bei,Limburg
10295-1464277832-1972466,tackt,ick,reg@,v@rwacrt,icrycdit,@n,bei,Limburg
10678-1464207106-1940420,tk,ick,rek@n,v@rwacr,erydit,@,bei,Limburg
10873-1464123528-1889882,tk,k,reg,v@rwacrt,@r@dit,@n,bei,Limburg
10988-1464180284-1913042,tackt,ick,rek@n,f@rwacr,erydit,@n,bei,Limburg
11719-1464609576-2145874,t@k,ick,regn,fecrwacrt,icrycdit,@n,bei,Limburg
12292-1468403775-2403417,tk,ick,reg,f@rwacrt,icrycdit,@n,bei,Limburg
