10015-1465415774-2278884,pistol,gc@rap,tfr@,eis,v@ker,
10038-1465798163-2309630,pistol,gc@rapt,tof@r@n,eis,v@rker,
10241-1464791998-2190491,pistol,gc@rapt,tof@r@n,eis,f@kert,
10267-1464460463-2101924,pistol,x@rap,tof@r@n,eis,v@ker,
10295-1464287404-1983788,pst@l,gc@rapt,tof@r@n,eis,v@ker,
10873-1464180659-1912799,pst@l,gc@rap,tof@r@,eis,vrker,
10988-1464181386-1913584,p@stol,xrapt,tof@r@,eis,vker,
11719-1464609819-2146387,pst@l,gc@rap,tof@r@,eis,vrkert,
12535-1464198520-1930137,p@st@l,gc@rap,tocf@r@n,eis,v@ker,
13066-1464212233-1946916,p@stol,gc@rapt,tof@r@n,eis,f@rkert,
13969-1464286278-1982062,p@st@l,gc@rapt,tocf@r@n,eis,v@rkert,
14111-1477311038-2517068,pistol,gcrap,tof@r@n,eis,v@kert,
15579-1469788843-2416182,p@stol,gcrap,tocf@r@,eis,v@rker,
15592-1465473827-2283544,p@st@l,gc@rapt,tof@r@n,eis,f@ker,
15779-1464358803-2037706,p@stol,gc@rapt,tof@r@,eis,vker,
15781-1465026487-2230316,pst@l,x@rapt,tof@r@,eis,v@ker,
15972-1464425315-2081305,pistocl,gc@rap,tof@r@,eis,f@ker,
16149-1464381395-2067527,pistocl,gc@rap,tocf@r@,eis,vkert,
16207-1464422787-2079485,p@stol,x@rap,tocf@r@,eis,f@rker,
16210-1464545089-2129863,pistocl,gc@rapt,tof@r@n,eis,vker,
16222-1464606830-2145296,pistol,x@rap,tf@r@,eis,f@rkert,
16307-1464165582-1901760,pistocl,xrapt,tof@r@n,eis,v@ker,
16326-1464610612-2146264,p@st@l,x@rap,tof@r@,eis,v@rkert,
16495-1464469053-2107730,pistol,gc@rap,tof@r@n,eis,fker,
16938-1469367347-2411072,p@stol,xrapt,tof@r@n,eis,f@rker,
17089-1475416138-2500516,pistocl,gcrap,tf@r@,eis,vker,
17469-1474488357-2492231,pst@l,gcrap,tof@r@n,eis,vrker,
17777-1482062933-2543531,pistol,gc@rap,tocf@r@n,eis,v@rker,
1987-1450049604-662968,pst@l,gc@rapt,tof@r@n,eis,vker,
2339-1449580680-422011,p@st@l,gc@rap,tof@r@,eis,v@rker,
2477-1450597159-724081,pistol,gc@rapt,tof@r@n,eis,vker,
2526-1457775974-1608819,pistocl,x@rap,tof@r@n,eis,fkert,
2720-1449364745-328150,pistocl,gc@rap,tof@r@n,eis,f@kert,
