10185-1464086217-1855270,p@st@l,gc@rap,tof@r@,eis,v@rkert,Groningen_and_Drenthe
11437-1464118002-1882038,pistol,x@rapt,tf@r@,eis,v@ker,Groningen_and_Drenthe
11438-1464216308-1950684,p@st@l,x@rapt,tf@r@n,eis,f@rker,Groningen_and_Drenthe
11665-1464189105-1921428,p@st@l,x@rapt,tocf@r@,eis,vrker,Groningen_and_Drenthe
12233-1464368314-2051575,pistol,x@rapt,tf@r@n,eis,v@rker,Groningen_and_Drenthe
12923-1464633583-2157878,pistol,x@rapt,tof@r@n,eis,v@rkert,Groningen_and_Drenthe
13042-1464201366-1933471,pistol,x@rapt,tocf@r@n,eis,v@rker,Groningen_and_Drenthe
15527-1473083725-2482771,pistol,x@rapt,tocf@r@n,eis,vker,Groningen_and_Drenthe
16266-1465212454-2081595,p@st@l,gc@rap,tocf@r@,eis,vrker,Groningen_and_Drenthe
16334-1464158120-1897819,pistol,x@rapt,tof@r@n,eis,vker,Groningen_and_Drenthe
16681-1465974334-2317686,p@st@l,gcrapt,tof@r@,eis,f@rker,Groningen_and_Drenthe
16771-1466359566-2343108,p@st@l,x@rapt,tfr@,eis,f@ker,Groningen_and_Drenthe
1687-1449170443-122266,pistocl,x@rapt,tof@r@,eis,f@kert,Groningen_and_Drenthe
1707-1449563268-469131,p@st@l,x@rapt,tocf@r@,eis,f@rkert,Groningen_and_Drenthe
17301-1472376518-2460167,p@stol,gcrap,tocf@r@,eis,v@rkert,Groningen_and_Drenthe
203-1449162200-100817,p@stol,gc@rapt,tof@r@,eis,vker,Groningen_and_Drenthe
214-1452504705-700251,p@st@l,x@rap,tof@r@,eis,frkert,Groningen_and_Drenthe
2825-1450547088-726201,pst@l,x@rap,tof@r@,eis,frker,Groningen_and_Drenthe
2963-1450721986-755468,pistol,gc@rapt,tof@r@n,eis,f@kert,Groningen_and_Drenthe
298-1449772681-575587,p@st@l,gc@rap,tocf@r@n,eis,v@rkert,Groningen_and_Drenthe
299-1449162270-100558,pst@l,gc@rapt,tof@r@n,eis,f@rker,Groningen_and_Drenthe
3054-1449510114-440180,pistol,gc@rap,tof@r@n,eis,f@ker,Groningen_and_Drenthe
3282-1449506308-435811,pst@l,gc@rap,tfrn,eis,vrker,Groningen_and_Drenthe
333-1449267548-241772,pistol,x@rap,tfr,eis,vker,Groningen_and_Drenthe
3385-1450452925-717136,pistol,x@rap,tof@r@n,eis,v@kert,Groningen_and_Drenthe
3526-1454539132-1315071,p@stol,gc@rapt,tocf@r@,eis,v@rkert,Groningen_and_Drenthe
3966-1452613395-888388,pistol,x@rapt,tof@r@n,eis,v@rkert,Groningen_and_Drenthe
3984-1450772937-760594,pst@l,gc@rapt,tof@r@,eis,frkert,Groningen_and_Drenthe
4111-1450006633-637168,pistol,gcrapt,tocf@r@n,eis,v@rker,Groningen_and_Drenthe
4357-1450305711-704545,pistol,x@rap,tf@r@,eis,vker,Groningen_and_Drenthe
4406-1453646174-926445,pistocl,xrapt,tocf@r@,eis,frkert,Groningen_and_Drenthe
4616-1450898290-770688,p@stol,xrap,tof@r@n,eis,frkert,Groningen_and_Drenthe
4895-1476473663-832228,pst@l,gc@rap,tof@r@,eis,frkert,Groningen_and_Drenthe
