10147-1464187443-1918585,hect,ecxtpar,acdocptirt,fo,fel,xeclt,@n,twejar@x,wesj@,
10185-1464083228-1854284,hect,ecxtpa,acdocptir,for,vel,xeclt,@n,twejar@x,wesj@,
10238-1464474878-2111046,hect,ecxtpacr,acdocptir,fo,fel,xeclt,@n,twejar@x,wesj@,
10566-1464767289-2185529,hect,ecxtpa,acdocptirt,for,vel,xecl,@n,twejar@x,wesj@,
11028-1464386701-2073572,hect,ecxtpar,acdocptir,fo,fel,xeclt,@n,twejar@x,wesj@,
11153-1464725176-2180421,hect,ecxtpar,@docpt@rt,vor,vel,xecl,@n,twejar@x,wesj@,
11271-1464809443-2196175,hect,ecxtpa,acdocptir,fo,fel,xeclt,n,twejar@x,wesj@,
11279-1464304662-2006893,hect,ecxtpar,acdocptir,fo,fel,xeclt,@n,twejar@x,wesj@,
11291-1464198479-1929613,hect,ecxtpar,acdocptir,vor,vel,xeclt,@n,twejar@x,wesj@,
11338-1464212818-1947616,hect,ecxtpac,acdocptir,fo,vel,xeclt,n,twejar@x,wicsj@,
11437-1464115243-1879016,hect,ecxtpa,acdocptirt,fo,vel,xeclt,@n,twejar@x,wesj@,
11438-1464211571-1894744,hect,ecxtpac,acdocptir,fo,vel,xeclt,n,twejar@x,wesj@,
115-1449074201-23131,hect,ecxtpac,acdocptirt,fo,fel,xecl,@n,twejar@x,wicsj@,
11665-1464187072-1917334,hect,ecxtpa,acdocptirt,fo,fel,xeclt,@n,twejar@x,wesj@,
11968-1465944342-2317542,hect,ecxtpa,acdocptir,for,vel,xeclt,n,twejar@x,wesj@,
12233-1464257644-1958070,hect,ecxtpac,acdocptir,fo,vel,xeclt,@n,twejar@x,wicsj@,
12421-1465489128-2285165,hect,ecxtpa,acdocptirt,fo,fel,xecl,n,twejar@x,wesj@,
12923-1464630514-2155934,hect,ecxtpar,acdocptirt,fo,vel,xeclt,@n,twejar@x,wesj@,
12987-1464559718-2139223,hect,ecxtpacr,acdocptirt,for,fel,xeclt,n,twejar@x,wesj@,
13042-1464199389-1931052,hect,ecxtpa,acdocptir,fo,vel,xecl,@n,twejar@x,wesj@,
13411-1464296449-1997296,hect,ecxtpa,@docpt@rt,fo,fel,xecl,@n,twejar@x,wicsj@,
13602-1464260267-1959553,hect,ecxtpar,acdocptirt,fo,vel,xeclt,@n,twejar@x,wesj@,
13856-1464263653-1961004,hect,ecxtpa,acdocptir,vo,vel,xeclt,@n,twejar@x,wesj@,
1393-1449157515-71708,hect,ecxtpa,acdocptirt,fo,fel,xeclt,@,twejar@x,wesj@,
14112-1464639636-2162068,hect,ecxtpacr,acdocptir,fo,fel,xecl,@n,twejar@x,wesj@,
1421-1449157057-73025,hect,ecxtpar,acdocptirt,for,fel,xeclt,n,twejar@x,wesj@,
14576-1464468243-2107594,hect,ecxtpar,acdocptirt,fo,fel,xecl,@n,twejar@x,wesj@,
14654-1464283719-1979257,hect,ecxtpa,acdocptirt,vo,fel,xeclt,@n,twejar@x,wesj@,
14893-1466455704-2350427,hect,ecxtpar,acdocptir,for,fel,xeclt,@n,twejar@x,wesj@,
14951-1464681910-2163830,hect,ecxtpacr,acdocptir,for,vel,xecl,@n,twejar@x,wesj@,
15260-1464508380-2113964,hect,ecxtpar,acdocptir,fo,vel,xeclt,@n,twejar@x,wesj@,
15470-1464728381-2181544,hect,ecxtpa,acdocptir,vo,fel,xecl,@n,twejar@x,wicsj@,
15527-1466443979-2348905,hect,ecxtpar,acdocptirt,vo,fel,xecl,@n,twejar@x,wesj@,
15537-1466620399-2137266,hect,ecxtpa,acdocptir,vo,fel,xecl,@n,twejar@x,wesj@,
15591-1464811446-2196786,hect,ecxtpa,acdocptirt,for,vel,xecl,@n,twejar@x,wesj@,
15737-1465510822-2288950,hect,ecxtpa,acdocptirt,vo,fel,xecl,@n,twejar@x,wesj@,
16209-1464373003-2057447,hect,ecxtpa,@docpt@r,vo,vel,xeclt,n,twejar@x,wicsj@,
16245-1465249292-2263807,hect,ecxtpar,acdocptir,vor,vel,xeclt,@n,twejar@x,wesj@,
16266-1464423375-2079959,hect,ecxtpa,acdocptir,fo,vel,xecl,@n,twejar@x,wesj@,
16334-1464127765-1895172,hect,ecxtpa,acdocptirt,fo,fel,xecl,@n,twejar@x,wesj@,
16451-1464479694-2112316,hect,ecxtpa,acdocptirt,fo,fel,xeclt,@,twejar@x,wesj@,
16681-1465718982-2302671,hect,ecxtpa,acdocptirt,for,fel,xeclt,@n,twejar@x,wesj@,
1669-1449165132-107838,hect,ecxtpa,acdocptirt,vo,fel,xecl,@,twejar@x,wicsj@,
16704-1465674692-2300977,hect,ecxtpar,acdocptir,fo,fel,xeclt,@n,twejar@x,wicsj@,
16771-1466244922-2335031,hect,ecxtpa,acdocptir,fo,vel,xeclt,@n,twejar@x,wesj@,
1687-1449167583-116158,hect,ecxtpac,acdocptir,fo,fel,xeclt,n,twejar@x,wicsj@,
