10185-1464086069-1855269,kocrt,na,hect,wil@rfecstein,fecrbruikt@,dris,d@,recs,facn,d@,deodocracnt,Groningen_and_Drenthe
11437-1464118888-1882037,kocr,na,hect,wil@rfecstein,vecrbruikt@,dris,d@,recs,facn,d@,deodocracn,Groningen_and_Drenthe
11438-1464216646-1950682,kocr,na,hect,wil@rfecstein,fecrbruikt@,dris,d,recs,vacn,d,deodocracnt,Groningen_and_Drenthe
11665-1464189524-1921427,kocrt,na,hect,wil@rfecstein,fecrbruikt@,dris,d@,recs,facn,d@,dicocdocracnt,Groningen_and_Drenthe
12233-1464368206-2051574,kocrt,na,hect,wil@rfecstein,fecrbruikt@,dris,d@,recs,facn,d@,deodocracnt,Groningen_and_Drenthe
12923-1464633382-2157876,kocrt,na,hect,wil@rfecstein,fecrbruikt@,dris,d@,recst,vacn,d,deodocracnt,Groningen_and_Drenthe
13042-1464201641-1933469,kocr,na,hect,wil@rfecstein,fecrbruikt@,dris,d@,recst,vacn,d@,deodocracn,Groningen_and_Drenthe
13411-1465639659-2297684,kocr,na,hect,wil@rfecstein,fecrbruikt@,dris,d@,recs,vacn,d@,deodocracnt,Groningen_and_Drenthe
15527-1473083461-2482770,kocr,na,hect,wil@rfecstein,vecrbruikt@,dris,d@,recst,vacn,d@,deodocracnt,Groningen_and_Drenthe
16266-1464425714-2081593,kocrt,na,hect,wil@rfecstein,fecrbruikt@,dris,d@,recst,facn,d@,deodocracn,Groningen_and_Drenthe
16334-1464158581-1897817,kocr,na,hect,wil@rfecstein,vecrbruikt@,dris,d@,recs,facn,d,deodocracnt,Groningen_and_Drenthe
16681-1465974191-2317685,kocrt,na,hect,wil@rfecstein,vecrbruikt@,drs,d,recs,vacn,d,d@od@racn,Groningen_and_Drenthe
16771-1466359573-2343107,kocr,na,hect,wil@rfecstein,vecrbruikt@,dris,d,recs,vacn,d@,d@@docracnt,Groningen_and_Drenthe
1687-1449170173-122265,kocr,na,hect,wil@rfecstein,fecrbruikt@,dris,d@,recst,facn,d@,deodocracn,Groningen_and_Drenthe
1707-1449563597-469129,kocrt,na,hect,wil@rfecstein,vecrbruikt@,dris,d@,recs,vacn,d,deodocracn,Groningen_and_Drenthe
17301-1472377079-2460166,kocr,na,hect,wil@rfecstein,fecrbruikt@,dris,d@,recs,vacn,d@,deodocracn,Groningen_and_Drenthe
203-1449162427-100816,kocr,na,hect,wil@rfecstein,vecrbruikt@,dris,d,recst,facn,d@,deodocracnt,Groningen_and_Drenthe
214-1452504962-700249,kocr,na,hect,wil@rfecstein,fecrbruikt@,dris,d@,recs,facn,d,deodocracnt,Groningen_and_Drenthe
2963-1450721894-755467,kocr,na,hect,wil@rfecstein,vecrbruikt@,dris,d@,recs,vacn,d@,d@@docracnt,Groningen_and_Drenthe
298-1449772754-575586,kocr,na,hect,wil@rfecstein,vecrbruikt@,dris,d,recs,vacn,d@,deodocracnt,Groningen_and_Drenthe
299-1449162330-100556,kocr,na,hect,wil@rfecstein,fecrbruikt@,dris,d,recs,vacn,d@,deodocracnt,Groningen_and_Drenthe
3054-1449510522-440179,kocr,na,hect,wil@rfecstein,fecrbruikt@,dris,d@,recs,facn,d@,d@@docracn,Groningen_and_Drenthe
3282-1449506319-435810,kocr,na,hect,wil@rfecstein,vecrbruikt@,dris,d@,recs,vacn,d@,deodocracnt,Groningen_and_Drenthe
333-1449267523-241771,kocrt,na,hect,wil@rfecstein,fecrbruikt@,dris,d@,recst,vacn,d@,deodocracnt,Groningen_and_Drenthe
3385-1450453121-717134,kocr,na,hect,wil@rfecstein,fecrbruikt@,dris,d@,recst,vacn,d,deodocracnt,Groningen_and_Drenthe
3526-1454538884-1315069,kocrt,na,hect,wil@rfecstein,fecrbruikt@,dris,d@,recst,facn,d@,deodocracnt,Groningen_and_Drenthe
3966-1452612962-888387,kocr,na,hect,wil@rfecstein,fecrbruikt@,dris,d@,recs,vacn,d@,deodocracnt,Groningen_and_Drenthe
3984-1450772960-760592,kocr,na,hect,wil@rfecstein,vecrbruikt@,dris,d@,recs,vacn,d,d@@docracn,Groningen_and_Drenthe
4111-1450006066-637166,kocr,na,hect,wil@rfecstein,vecrbruikt@,dris,d@,recs,facn,d,deodocracnt,Groningen_and_Drenthe
4357-1450305723-704543,kocr,na,hect,wil@rfecstein,fecrbruikt@,dris,d@,recs,facn,d,deodocracnt,Groningen_and_Drenthe
4406-1453647054-926443,kocrt,na,hect,wil@rfecstein,fecrbruikt@,dris,d@,recs,facn,d@,deodocracnt,Groningen_and_Drenthe
4616-1450897994-770686,kocr,na,hect,wil@rfecstein,fecrbruikt@,dris,d@,recs,facn,d,deodocracnt,Groningen_and_Drenthe
