11437-1464117953-1882036,ntyk,xa,j,facn,hacrt,wecrk@n,heus,ni,dot,ma,icn,acndr,ocpsicxt@n,ics,d@,preis,socms,hogc@,dacn,j,dacx,
11438-1464216860-1950683,natyl@k,xa,j,facn,hacrt,wecrk@n,heus,ni,dot,ma,icn,acnd@r@,ocpsicxt@n,ics,d@,preis,socms,hogcr,dacn,j@,dacxt,
11665-1464189395-1921426,n@tyl@k,xa,j,facn,hacr,wecrk@,heus,ni,dot,mar,n,acnd@r,ocpsicxt@,ics,d,preis,socms,hogc@,dacn,j,dacxt,
12233-1464368554-2051573,n@tyl@k,xa,j@,vacn,hacr,wecrk@,heus,ni,dot,ma,icn,acndr,ocpsicxt@,ics,d,preis,socms,hogc@r,dacn,j@,dacxt,
12923-1464633432-2157877,n@tyl@k,xa,j@,vacn,hacr,wecrk,heus,ni,dot,ma,n,acnd@r,ocpsicxt@,ics,d,preis,socms,hogc@,dacn,j,dacxt,
13042-1464201237-1933470,n@tyrl@k,xa,j@,facn,hacr,wecrk@n,heus,ni,dot,mar,n,acndr,ocpsicxt@n,ics,d@,preis,socms,hogcr,dacn,j@,dacx,
15527-1473083796-2482769,n@tyrl@k,xa,j,vacn,hacr,wecrk@n,heus,ni,dot,ma,icn,acnd@r@,ocpsicxt@,ics,d@,preis,socms,hoxr,dacn,j,dacxt,
16266-1464425734-2081594,n@ty@k,xa,j,vacn,hacr,wecrk@,heus,ni,dot,ma,icn,acnd@r,ocpsicxt@,ics,d,preis,socms,hogc@,dacn,j,dacx,
16334-1464158737-1897818,n@ty@k,xa,j@,vacn,hacrt,wecrk,heus,ni,dot,mar,n,acndr,ocpsicxt@,ics,d@,preis,socms,hogc@,dacn,j,dacxt,
16681-1465973889-2317684,natyrl@k,xa,j,vacn,hacr,wecrk@n,heus,ni,dot,ma,icn,acnd@r,ocpsicxt@,ics,d@,preis,socms,hogcr,dacn,j,dacxt,
16771-1466359654-2343106,ntyrl@k,xa,j,vacn,hacr,wecrk@,heus,ni,dot,mar,n,acndr,ocpsicxt@,ics,d@,preis,socms,hogc,dacn,j,dacxt,
1687-1449170088-122264,ntyl@k,xa,j@,vacn,hacr,wecrk,heus,ni,dot,ma,icn,acndr,ocpsicxt@,ics,d@,preis,socms,hogc,dacn,j,dacx,
1707-1449563419-469130,n@tyl@k,xa,j@,facn,hacr,wecrk,heus,ni,dot,ma,n,acndr,ocpsicxt@,ics,d,preis,socms,hogc@,dacn,j,dacxt,
17301-1472377412-2460165,ndylk,xa,j@,vacn,hacr,wecrk@n,heus,ni,dot,ma,icn,acndr,ocpsicxt@,ics,d@,preis,socms,hogc@r,dacn,j,dacxt,
203-1449162124-100815,n@tyrk,xa,j,vacn,hacrt,wecrk,heus,ni,dot,ma,icn,acnd@r,ocpsicxt@,ics,d@,preis,socms,hogc@,dacn,j,dacx,
214-1452504466-700250,ndy@k,xa,j@,facn,hacr,wecrk,heus,ni,dot,ma,icn,acndr,ocpsicxt@n,ics,d@,preis,socms,hogc@,dacn,j@,dacxt,
2963-1450722618-755466,n@tyl@k,xa,j@,facn,hacr,wecrk,heus,ni,dot,ma,icn,acndr,ocpsicxt@,ics,d@,preis,socms,hogc@,dacn,j,dacxt,
298-1449772630-575585,nacdyrl@k,xa,j,vacn,hacr,wecrk,heus,ni,dot,ma,icn,acnd@r@,ocpsicxt@,ics,d,preis,socms,hogcr,dacn,j,dacxt,
299-1449161640-100557,n@tyrl@k,xa,j,vacn,hacr,wecrk,heus,ni,dot,ma,icn,acndr,ocpsicxt@n,ics,d,preis,socms,hogc,dacn,j,dacxt,
3054-1449510709-440178,n@tyrl@k,xa,j@,facn,hacr,wecrkn,heus,ni,dot,mar,icn,acnd@r@,ocpsicxt@n,ics,d@,preis,socms,hogc@,dacn,j@,dacxt,
3282-1449506228-435809,n@tyrl@k,xa,j@,vacn,hacr,wecrk,heus,ni,dot,ma,icn,acndr,ocpsicxt@,ics,d@,preis,socms,hogcr,dacn,j@,dacx,
333-1449267194-241770,ntyrl@k,xa,j,facn,hacrt,wecrk,heus,ni,dot,ma,n,acndr,ocpsicxt@,ics,d,preis,socms,hogc,dacn,j,dacxt,
3385-1450453133-717135,ntyk,xa,j@,vacn,hacr,wecrk,heus,ni,dot,ma,n,acndr,ocpsicxt@,ics,d@,preis,socms,hogc,dacn,j,dacx,
3526-1454538695-1315070,nactyl@k,xa,j,facn,hacr,wecrk,heus,ni,dot,mar,n,acnd@r,ocpsicxt@n,ics,d@,preis,socms,hogc@r,dacn,j,dacxt,
3966-1452613171-888386,n@tyl@k,xa,j,vacn,hacr,wecrk,heus,ni,dot,ma,n,acndr,ocpsicxt@n,ics,d@,preis,socms,hogcr,dacn,j,dacx,
3984-1450773032-760593,ntyl@k,xa,j,vacn,hacr,wecrk,heus,ni,dot,mar,n,acndr,ocpsicxt@,ics,d@,preis,socms,hox,dacn,j@,dacxt,
