10015-1465413274-2277970,na,d@,tocxt,icn,d@,regc@,var,d@,kacpitein,blei,wecx,
10029-1466007518-1853039,na,d@,tocx,icn,d@,regc@n,var,d@,kacpitein,blei,wecx,
10038-1465762397-2307713,na,d@,tocx,icn,d,regc@,var,d,k@pitein,blei,wecx,
10103-1464126318-1891757,na,d@,tocx,icn,d@,regc@,far,d@,kacpitein,blei,wecx,
10198-1465815933-2310203,na,d@,tocxt,icn,d@,regcn,var,d@,kacpitein,blei,wecx,
10234-1464079166-1853462,na,d@,toc,icn,d@,regcn,var,d@,k@bidein,blei,wecx,
10241-1464790009-1905739,na,d@,tocxt,icn,d@,regc@n,var,d@,kacpitein,blei,wecx,
10267-1464421572-2079081,na,d@,tocx,icn,d,regc,far,d,kacpitein,blei,wecx,
10295-1464276002-1970805,na,d@,tocx,icn,d@,regc@,far,d@,kacpitein,blei,wecx,
10678-1464092800-1859758,na,d@,tocxt,icn,d,regc@,var,d,kacp@tein,blei,wecx,
10815-1464100190-1864718,na,d@,toc,icn,d@,regcn,var,d@,kacbdein,blei,wecx,
10873-1464120063-1884393,na,d@,tocxt,n,d@,regc@n,vart,d,kacpitein,blei,wecx,
10952-1464277936-1949153,na,d@,tocx,icn,d@,regcn,far,d,kacp@tein,blei,wecx,
10988-1464178328-1910976,na,d@,tocxt,icn,d@,regc@n,far,d@,kacpitein,blei,wecx,
11135-1464105336-1868446,na,d@,tocxt,icn,d@,regc@,var,d@,kacb@dein,blei,wecx,
11196-1465782616-2309510,na,d@,tocxt,icn,d@,regc@,far,d@,kacbidein,blei,wecx,
11225-1464114821-1876178,na,d@,tocxt,icn,d@,regcn,far,d@,kacpitein,blei,wecx,
11326-1464177889-1910685,na,d@,tocx,icn,d@,regc@,vart,d,kacpitein,blei,wecx,
11364-1465218275-2257921,na,d@,tocxt,icn,d@,regc@,far,d@,kacptein,blei,wecx,
11440-1464718676-2176764,na,d@,toc,icn,d@,regc@,var,d,kacb@dein,blei,wecx,
11719-1464169084-1904150,na,d@,tocx,icn,d@,regc@n,far,d@,kacpitein,blei,wecx,
12170-1464534260-2124640,na,d@,tocxt,icn,d,regcn,var,d,kacptein,blei,wecx,
12187-1464173243-1907215,na,d,tocxt,n,d@,regc,var,d,kacp@tein,blei,wecx,
12279-1470565779-2265836,na,d@,tocx,icn,d,regcn,var,d@,kacbidein,blei,wecx,
12292-1465132940-2240646,na,d@,tocx,icn,d@,regc@n,fart,d,kacpitein,blei,wecx,
12308-1465765113-2308646,na,d@,tocxt,icn,d@,regcn,var,d@,kacpitein,blei,wecx,
12535-1464186588-1917689,na,d@,tocx,icn,d@,regc,far,d@,kacb@dein,blei,wecx,
12960-1464199763-1931575,na,d@,tocxt,icn,d@,regcn,far,d@,kacp@tein,blei,wecx,
13066-1464202118-1930818,na,d@,tocxt,icn,d@,rex@,fart,d,kacp@tein,blei,wecx,
13371-1464258018-1958793,na,d@,tocxt,icn,d@,regcn,var,d,kacpitein,blei,wecx,
13627-1464338280-2012491,na,d@,tocx,n,d@,regc@n,fart,d@,kacpitein,blei,wecx,
13862-1464260053-1959627,na,d@,tocxt,icn,d@,regc@,var,d@,kacp@tein,blei,wecx,
13969-1464262430-1960768,na,d@,tocx,icn,d@,regc,var,d,kacbidein,blei,wecx,
14111-1477305446-2415172,na,d@,tocxt,icn,d@,regc@n,vart,d@,k@bidein,blei,wecx,
14556-1464432518-2086065,na,d@,tocxt,icn,d@,regc@n,fart,d,kacpitein,blei,wecx,
14759-1464463065-2104107,na,d@,tocx,n,d@,regc@n,var,d@,kacpitein,blei,wecx,
14812-1465501484-2286795,na,d@,tocx,n,d@,regcn,var,d@,kacp@tein,blei,wecx,
14847-1467748439-2396588,na,d@,tocxt,icn,d@,regc@,var,d@,k@pitein,blei,wecx,
14976-1464805362-2110560,na,d@,tocxt,icn,d@,regc@n,var,d@,kacpitein,blei,wecx,
1499-1449157902-75925,na,d@,toc,n,d@,regc@,far,d@,kacptein,blei,wecx,
15101-1464939225-2216813,na,d@,tocx,icn,d@,regcn,var,d@,kacbidein,blei,wecx,
15579-1465155904-2243590,na,d@,tocx,icn,d@,regc@n,fart,d,kacpitein,blei,wecx,
15588-1464943390-2217147,na,d@,tocx,icn,d@,regc@,far,d@,kacbidein,blei,wecx,
15592-1465470422-2283058,na,d@,tocxt,icn,d@,regc@,far,d@,kacbidein,blei,wecx,
1568-1450185690-685682,na,d@,tocxt,n,d@,regc@n,vart,d@,kacptein,blei,wecx,
15779-1464355372-2033043,na,d@,tocxt,icn,d,regc@,fart,d,kacpitein,blei,wecx,
15781-1465020103-2229335,na,d@,tocxt,icn,d@,regc@,fart,d,kacp@tein,blei,wecx,
15937-1464367259-2050479,na,d@,tocxt,n,d@,regc@,var,d@,kacpitein,blei,wecx,
15955-1464367895-2051082,na,d@,tocxt,icn,d@,regc@,vart,d@,kacpitein,blei,wecx,
15972-1464362751-2043188,na,d@,tocx,icn,d@,regc@n,far,d@,kacpitein,blei,wecx,
16149-1464367006-2050154,na,d@,tocx,icn,d@,regc@n,far,d@,kacpitein,blei,wecx,
16207-1464391646-2075599,na,d@,tocx,icn,d,regc@,var,d,kacp@tein,blei,wecx,
16210-1464534676-2125137,na,d@,tocxt,n,d,regcn,fart,d,kacptein,blei,wecx,
16222-1464424594-2080599,na,d@,tocx,icn,d@,regc@,vart,d,kacpitein,blei,wecx,
16307-1464114246-1877610,na,d@,tocx,icn,d@,regcn,vart,d@,kacptein,blei,wecx,
16311-1464116012-1879503,na,d@,tocx,icn,d@,regcn,var,d@,kacbidein,blei,wecx,
16326-1464605342-1890343,na,d@,tocxt,icn,d@,regc@,vart,d,kacp@tein,blei,wecx,
16328-1464125245-1891219,na,d@,toc,icn,d,regc@n,far,d@,kacb@dein,blei,wecx,
16495-1464465844-2105978,na,d@,tocxt,icn,d@,regc@,far,d@,kacbidein,blei,wecx,
165-1449070750-13386,na,d@,tocxt,n,d,regcn,vart,d,kacb@dein,blei,wecx,
16718-1465841324-2312170,na,d@,tocxt,icn,d@,regc@,far,d@,kacpitein,blei,wecx,
16849-1466661703-2366552,na,d@,toc,n,d@,regc@,far,d@,kacptein,blei,wecx,
16938-1469361998-2402604,na,d@,toc,icn,d,regc@n,var,d@,kacbidein,blei,wecx,
17031-1471295978-2426605,na,d@,tocxt,n,d,regc@n,fart,d,kacpitein,blei,wecx,
17089-1472370337-2434912,na,d@,toc,n,d@,regc@n,var,d,kacp@tein,blei,wecx,
17126-1472372119-2437491,na,d@,tocxt,icn,d@,regc@n,far,d@,kacp@tein,blei,wecx,
1726-1449170644-123951,na,d@,toc,n,d@,regc@n,fart,d,kacp@tein,blei,wecx,
17282-1472373810-2447852,na,d@,tocxt,icn,d@,regc@,var,d@,kacp@tein,blei,wecx,
17321-1472396338-2455407,na,d@,toc,n,d,regc@,far,d@,kacptein,blei,wecx,
17379-1472592803-2478537,na,d@,tocx,icn,d,regc@,var,d@,k@bidein,blei,wecx,
17469-1474483308-2491912,na,d@,toc,icn,d@,regc@n,var,d@,kacb@dein,blei,wecx,
17777-1482059097-2543222,na,d@,tocxt,n,d@,regc@n,var,d@,kacpitein,blei,wecx,
17820-1485298033-2550409,na,d,tocx,icn,d,regc@n,far,d@,kacptein,blei,wecx,
17838-1484341041-2553058,na,d@,tocxt,icn,d@,regc@n,vart,d@,kacptein,blei,wecx,
1911-1449193339-167475,na,d@,tocxt,n,d@,regc@,fart,d,kacpitein,blei,wecx,
1987-1449589792-483285,na,d@,tocxt,n,d@,rex@n,vart,d@,kacpitein,blei,wecx,
2007-1449229588-189454,na,d@,tocxt,n,d@,regc@,far,d@,kacpitein,blei,wecx,
2033-1449235363-195150,na,d@,tocxt,n,d@,regc@n,vart,d@,kacpitein,blei,wecx,
204-1449071161-16357,na,d,toc,n,d@,regcn,var,d,kacp@tein,blei,wecx,
2219-1449525809-461368,na,d@,tocxt,n,d@,regc@n,vart,d@,kacp@tein,blei,wecx,
2238-1449326040-286341,na,d@,toc,n,d@,regc@n,var,d@,kacbidein,blei,wecx,
2339-1449314763-263158,na,d@,toc,n,d@,regc@,var,d@,kacpitein,blei,wecx,
2343-1449415434-370682,na,d@,toc,n,d@,regcn,far,d@,kacpitein,blei,wecx,
2416-1449314707-266793,na,d@,tocx,n,d@,regcn,far,d@,kacb@dein,blei,wecx,
2477-1449316997-272836,na,d@,tocxt,n,d@,regc@n,far,d,kacbidein,blei,wecx,
2526-1449321277-281224,na,d@,tocxt,n,d@,regc@,vart,d,kacp@tein,blei,wecx,
2720-1449358082-317919,na,d,tocx,n,d@,regcn,far,d,kacbdein,blei,wecx,
2744-1449354748-322348,na,d@,tocx,n,d@,regc@n,far,d@,kacbidein,blei,wecx,
2782-1449364022-328077,na,d@,tocxt,n,d@,regcn,far,d@,kacp@tein,blei,wecx,
2981-1449405746-354082,na,d@,tocx,n,d@,regc@,vart,d@,kacbidein,blei,wecx,
3025-1449434544-395866,na,d@,tocx,n,d@,rex@,far,d@,kacbidein,blei,wecx,
3047-1449412278-364187,na,d,tocx,n,d@,regcn,vart,d,kacp@tein,blei,wecx,
3151-1449437068-388964,na,d@,tocxt,n,d@,regc@,far,d@,kacpitein,blei,wecx,
3178-1449435623-397509,na,d@,tocx,n,d@,regc@n,far,d@,kacpitein,blei,wecx,
3292-1449510237-440108,na,d@,tocxt,n,d@,regc@n,vart,d,kacpitein,blei,wecx,
3293-1449502935-432097,na,d@,tocxt,n,d@,regc@n,var,d@,kacpitein,blei,wecx,
3318-1449507214-436783,na,d,toc,n,d@,regcn,var,d,kacp@tein,blei,wecx,
3333-1449512775-444462,na,d@,tocxt,n,d@,regc@n,far,d@,kacp@tein,blei,wecx,
345-1449079920-33424,na,d@,tocxt,n,d@,regcn,var,d@,k@pitein,blei,wecx,
3594-1449605494-504722,na,d@,tocx,n,d@,regc,var,d,kacpitein,blei,wecx,
3677-1449653630-524467,na,d@,toc,n,d,regc@n,var,d@,kacpitein,blei,wecx,
3733-1449689824-546297,na,d@,toc,n,d@,regcn,far,d@,kacpitein,blei,wecx,
3737-1454332279-548251,na,d@,toc,n,d,regc@,var,d,kacbidein,blei,wecx,
3973-1449924193-607070,na,d@,toc,n,d@,regc@n,var,d,kacptein,blei,wecx,
4124-1450000043-633340,na,d@,tocxt,n,d@,regcn,fart,d,kacpitein,blei,wecx,
4215-1450018489-648767,na,d@,tocx,n,d@,regc,var,d@,kacp@tein,blei,wecx,
4390-1450339884-705624,na,d@,tocxt,n,d@,regc@,var,d,kacptein,blei,wecx,
4502-1450599775-733682,na,d@,tocxt,n,d@,regc@n,far,d,kacpitein,blei,wecx,
4547-1450613588-739729,na,d@,tocxt,n,d@,regc,fart,d,kacb@dein,blei,wecx,
4642-1450781107-761364,na,d@,tocx,n,d@,regc@,var,d,kacp@tein,blei,wecx,
4672-1450906118-772291,na,d@,tocxt,n,d@,regc@n,fart,d@,kacpitein,blei,wecx,
4682-1450962286-775551,na,d@,tocx,n,d@,regc@n,fart,d,kacp@tein,blei,wecx,
4690-1450998992-779009,na,d@,toc,n,d@,regc@n,var,d,kacbdein,blei,wecx,
4722-1451132182-784774,na,d@,tocx,n,d@,regc@n,far,d,kacpitein,blei,wecx,
4769-1451319755-800901,na,d@,tocx,n,d@,regcn,far,d,kacp@tein,blei,wecx,
4772-1451326094-803954,na,d@,tocxt,n,d@,regc@n,far,d@,kacpitein,blei,wecx,
4773-1451381244-801115,na,d@,tocxt,n,d@,regc@,fart,d,kacp@tein,blei,wecx,
4777-1451379290-801458,na,d@,tocxt,n,d@,regc@,far,d@,kacpitein,blei,wecx,
4782-1451321916-801844,na,d@,tocxt,n,d,regcn,fart,d,k@bidein,blei,wecx,
4830-1451420412-821494,na,d@,tocxt,n,d@,regc@n,fart,d@,kacpitein,blei,wecx,
4851-1451386967-814964,na,d@,tocxt,n,d@,regc@n,far,d@,kacbidein,blei,wecx,
4858-1451396289-817056,na,d@,toc,n,d@,regc@n,var,d@,kacptein,blei,wecx,
5058-1452382282-879164,na,d@,tocx,n,d@,regc@,far,d@,k@pitein,blei,wecx,
5088-1452627208-889739,na,d@,tocxt,n,d@,regc,var,d@,kacpitein,blei,wecx,
5132-1453124675-903363,na,d@,toc,icn,d@,regc@n,far,d@,kacpitein,blei,wecx,
5194-1453411867-916593,na,d@,toc,n,d@,regc@,var,d@,kacpitein,blei,wecx,
5203-1453476620-918813,na,d@,tocxt,n,d@,regc@,far,d,kacp@tein,blei,wecx,
5418-1454008098-946158,na,d@,tocxt,n,d@,regc@,far,d@,kacpitein,blei,wecx,
