10167-1464126317-1892603,na,d@,tocxt,icn,d@,regc@n,vart,d@,kacp@tein,blei,wecx,
10335-1464334727-2010775,na,d@,tocxt,icn,d@,regc@n,var,d,kacp@tein,blei,wecx,
10442-1465763438-2308246,na,d@,tocxt,icn,d@,regc@n,fart,d@,kacpitein,blei,wecx,
10609-1464158703-1897940,na,d@,tocxt,icn,d@,regc@n,fart,d,kacp@tein,blei,wecx,
10723-1464113051-1876394,na,d@,tocxt,icn,d,regc@,fart,d,kacpitein,blei,wecx,
10895-1464105610-1868772,na,d@,tocx,icn,d,regc@,far,d@,kacpitein,blei,wecx,
11156-1464112396-1875339,na,d@,tocxt,icn,d@,regc@n,vart,d,kacbidein,blei,wecx,
11194-1464199199-1897994,na,d@,tocxt,icn,d@,rex@n,vart,d@,kacpitein,blei,wecx,
11791-1464168549-1903526,na,d@,tocx,icn,d@,rex@,var,d@,kacp@tein,blei,wecx,
11940-1464166379-1902317,na,d@,tocxt,icn,d,regc@,far,d@,kacb@dein,blei,wecx,
12145-1464171436-1905925,na,d@,tocx,icn,d@,regc@n,far,d@,kacpitein,blei,wecx,
12631-1464260081-1954660,na,d@,tocx,icn,d@,regc@n,far,d@,kacptein,blei,wecx,
12954-1464198309-1929789,na,d@,tocxt,icn,d@,regc@n,var,d@,kacpitein,blei,wecx,
13104-1464300258-2002865,na,d@,tocxt,icn,d@,regc@,var,d@,kacpitein,blei,wecx,
13285-1464207039-1938368,na,d@,tocxt,icn,d,rex@n,far,d@,kacp@tein,blei,wecx,
13452-1464284245-1975790,na,d@,tocxt,icn,d,regc@,far,d@,kacpitein,blei,wecx,
13550-1465925285-2315530,na,d@,tocxt,icn,d@,regc@n,far,d@,k@pitein,blei,wecx,
1383-1449156017-64765,na,d,toc,n,d@,regc@,far,d,kacbdein,blei,wecx,
13884-1465540573-2289604,na,d@,tocxt,n,d@,regc@n,fart,d,kacpitein,blei,wecx,
14656-1464295865-1995784,na,d@,tocxt,icn,d,rex@n,far,d@,kacpitein,blei,wecx,
14712-1464509696-2114199,na,d@,toc,n,d@,regc@,var,d@,kacptein,blei,wecx,
14949-1464343667-2019855,na,d@,tocxt,icn,d@,regcn,far,d@,kacptein,blei,wecx,
1496-1449157562-75853,na,d@,tocx,n,d@,rex@,far,d@,kacpitein,blei,wecx,
14966-1464382454-2068753,na,d@,tocxt,icn,d@,rex@n,far,d@,kacptein,blei,wecx,
15012-1464460021-2101408,na,d@,tocx,icn,d@,regc,var,d@,kacpitein,blei,wecx,
1524-1449157506-77620,na,d@,tocxt,n,d@,regc@,fart,d,kacp@tein,blei,wecx,
15268-1464345452-2021146,na,d@,tocx,icn,d@,regc@n,fart,d@,kbidein,blei,wecx,
15271-1464356895-2034658,na,d@,tocxt,icn,d@,regc@n,vart,d,k@pitein,blei,wecx,
15456-1464342971-2019038,na,d@,tocx,icn,d@,regc@,fart,d,kacb@dein,blei,wecx,
15474-1464430976-2064533,na,d@,tocxt,n,d@,regc@,far,d@,kacp@tein,blei,wecx,
15580-1464346800-2023793,na,d@,toc,n,d@,regc@,far,d@,kacptein,blei,wecx,
15629-1464793147-2190844,na,d@,tocxt,icn,d@,rex@n,far,d@,kacpitein,blei,wecx,
15664-1464353940-2031053,na,d@,tocx,icn,d@,regc@,far,d@,kacp@tein,blei,wecx,
16057-1464361622-2041775,na,d@,tocxt,n,d,rex@n,far,d@,k@pitein,blei,wecx,
16156-1464645376-2164468,na,d@,tocx,icn,d,regc@,fart,d,kacptein,blei,wecx,
16188-1464471181-2109496,na,d@,tocxt,icn,d@,rex@,far,d@,kacpitein,blei,wecx,
1621-1449159472-89742,na,d@,tocx,n,d@,regc@,fart,d,kacbidein,blei,wecx,
16213-1464375743-2057132,na,d@,tocx,icn,d@,regc@n,far,d,kacptein,blei,wecx,
16242-1464367836-2051135,na,d@,tocx,icn,d@,regc@n,far,d@,kacbidein,blei,wecx,
16270-1464079232-1853516,na,d@,tocxt,icn,d@,regc@n,fart,d,kacp@tein,blei,wecx,
16295-1464104494-1867733,na,d,tocxt,icn,d@,rex@n,far,d@,kacp@tein,blei,wecx,
16300-1464109244-1871952,na,d@,tocx,icn,d@,regc@,far,d@,k@pitein,blei,wecx,
16318-1464119441-1883718,na,d@,tocxt,icn,d@,rex@,fart,d,kacpitein,blei,wecx,
16368-1464205640-1938315,na,d@,tocxt,icn,d@,regc@,fart,d,k@pitein,blei,wecx,
16439-1464357162-2024921,na,d@,tocxt,icn,d@,regc@n,vart,d@,kacptein,blei,wecx,
16497-1464628563-2109618,na,d@,tocxt,icn,d@,regc@,far,d@,kacpitein,blei,wecx,
16501-1464549899-2133200,na,d@,tocx,icn,d@,regc@n,far,d,kacpitein,blei,wecx,
16505-1464530962-2123251,na,d@,toc,icn,d,regc,var,d@,kacptein,blei,wecx,
16532-1464620082-2148610,na,d@,tocxt,icn,d@,regc,var,d,k@pitein,blei,wecx,
1654-1449397047-340187,na,d@,tocxt,n,d@,rex@n,fart,d@,kacpitein,blei,wecx,
16621-1464987920-2226789,na,d,tocx,icn,d@,regc@n,far,d@,kacbidein,blei,wecx,
17187-1472372890-2440906,na,d@,tocx,icn,d@,regc@n,far,d@,kacb@dein,blei,wecx,
17226-1472378490-2462809,na,d@,tocxt,icn,d,regc@n,fart,d@,k@pitein,blei,wecx,
17237-1472373098-2444733,na,d@,tocx,n,d@,regc@,far,d@,kacp@tein,blei,wecx,
17518-1476281650-2508900,na,d,tocxt,n,d@,regc@n,far,d,kacptein,blei,wecx,
17700-1479846182-2531241,na,d@,tocxt,icn,d@,regc@n,far,d@,kacpitein,blei,wecx,
1814-1449178456-145837,na,d@,tocx,n,d@,regc@n,fart,d@,kacp@tein,blei,wecx,
1959-1449222077-177578,na,d@,tocxt,n,d@,regc@n,fart,d@,k@bidein,blei,wecx,
1982-1449233006-192850,na,d@,tocx,n,d,regc@,fart,d@,kpitein,blei,wecx,
2057-1449242839-203885,na,d@,toc,n,d@,regc@,far,d@,kacbidein,blei,wecx,
2426-1449314759-267147,na,d@,tocxt,n,d@,regc@n,far,d,kacpitein,blei,wecx,
2486-1449317749-274814,na,d@,tocx,n,d@,regc@n,far,d@,kacpitein,blei,wecx,
2515-1449320062-279180,na,d@,tocxt,n,d,regc@n,far,d@,kacb@dein,blei,wecx,
2612-1449335002-297938,na,d@,tocx,n,d@,regc@n,far,d@,kacpitein,blei,wecx,
2625-1452202172-303699,na,d@,tocxt,icn,d@,regc@n,far,d@,kacb@dein,blei,wecx,
2640-1450563477-304539,na,d@,tocx,n,d@,regc@n,far,d@,kacpitein,blei,wecx,
2668-1449343400-309856,na,d@,tocxt,n,d@,regc@n,fart,d@,kacptein,blei,wecx,
2682-1449346893-313029,na,d@,toc,n,d@,regc,fart,d,kacpitein,blei,wecx,
