10147-1464186839-1917280,na,d@,tocxt,n,d@,regc@n,far,d,kacptein,blei,wecx,Groningen_and_Drenthe
10185-1464080046-1853702,na,d@,tocxt,icn,d,rex@,far,d@,kacpitein,blei,wecx,Groningen_and_Drenthe
10238-1464473709-2110694,na,d@,tocxt,icn,d@,regc@,far,d@,kacpitein,blei,wecx,Groningen_and_Drenthe
10566-1464767091-2185105,na,d@,tocxt,icn,d@,rex@n,var,d,kacbidein,blei,wecx,Groningen_and_Drenthe
11028-1464386100-2073037,na,d@,tocxt,icn,d,regc@n,fart,d,kacpitein,blei,wecx,Groningen_and_Drenthe
11153-1464724547-2180360,na,d@,tocxt,n,d,regc@,var,d@,kacpitein,blei,wecx,Groningen_and_Drenthe
11271-1464808804-2086240,na,d@,tocxt,icn,d@,regc@n,far,d@,kacpitein,blei,wecx,Groningen_and_Drenthe
11279-1464261063-1875030,na,d@,tocxt,icn,d@,regc@n,far,d@,kacpitein,blei,wecx,Groningen_and_Drenthe
11291-1464197879-1928430,na,d,tocxt,icn,d,rex@n,far,d@,kacpitein,blei,wecx,Groningen_and_Drenthe
11338-1464211216-1945847,na,d@,toc,n,d,regcn,far,d@,kacbdein,blei,wecx,Groningen_and_Drenthe
11437-1464114948-1877761,na,d@,tocx,icn,d@,rex@n,fart,d,kacpitein,blei,wecx,Groningen_and_Drenthe
11438-1464115089-1878520,na,d@,tocx,icn,d@,rex@n,far,d@,kacbidein,blei,wecx,Groningen_and_Drenthe
115-1449072039-10243,na,d@,toc,n,d@,regc@,far,d,k@pitein,blei,wecx,Groningen_and_Drenthe
11665-1464185495-1916521,na,d@,tocxt,icn,d@,regc@,far,d@,kacbidein,blei,wecx,Groningen_and_Drenthe
11863-1464245930-1954716,na,d@,tocxt,icn,d@,regc@n,var,d,kacp@tein,blei,wecx,Groningen_and_Drenthe
11968-1465943363-2317486,na,d@,tocxt,icn,d,regc@n,far,d,kacp@tein,blei,wecx,Groningen_and_Drenthe
12233-1464256754-1911213,na,d@,tocxt,icn,d,rex@n,vart,d@,kacbidein,blei,wecx,Groningen_and_Drenthe
12421-1465419534-2280748,na,d@,tocxt,n,d@,regcn,far,d@,kacptein,blei,wecx,Groningen_and_Drenthe
12923-1464629945-2155545,na,d@,tocxt,icn,d@,regc@n,fart,d@,kacpitein,blei,wecx,Groningen_and_Drenthe
12978-1464279376-1973631,na,d@,tocxt,icn,d@,rex@n,fart,d@,kacpitein,blei,wecx,Groningen_and_Drenthe
12987-1464509880-2114334,na,d@,tocxt,icn,d@,rex@,fart,d,kacpitein,blei,wecx,Groningen_and_Drenthe
13042-1464198809-1930258,na,d@,tocxt,icn,d,regc@n,far,d@,kacpitein,blei,wecx,Groningen_and_Drenthe
13411-1464295331-1996445,na,d@,toc,icn,d@,regc@n,far,d@,kacp@tein,blei,wecx,Groningen_and_Drenthe
13602-1464259378-1959386,na,d@,toc,icn,d@,regcn,fart,d@,kacpitein,blei,wecx,Groningen_and_Drenthe
13856-1464262547-1960661,na,d@,tocxt,icn,d,regc@n,far,d@,kacpitein,blei,wecx,Groningen_and_Drenthe
1393-1449156627-64623,na,d@,tocx,n,d@,regc@n,far,d,kacpitein,blei,wecx,Groningen_and_Drenthe
14112-1464292168-1990785,na,d@,tocx,n,d,regcn,far,d@,kacb@dein,blei,wecx,Groningen_and_Drenthe
1421-1449156574-65971,na,d@,tocx,n,d@,rex@n,fart,d,kacptein,blei,wecx,Groningen_and_Drenthe
14576-1464467525-2107186,na,d@,tocxt,icn,d@,regc@,var,d@,kacpitein,blei,wecx,Groningen_and_Drenthe
14654-1464283105-1978656,na,d@,tocxt,icn,d@,regc@n,var,d@,kacp@tein,blei,wecx,Groningen_and_Drenthe
14893-1466454022-2350164,na,d@,tocxt,icn,d@,rex@n,fart,d@,kacptein,blei,wecx,Groningen_and_Drenthe
14951-1464609155-2140775,na,d@,tocxt,icn,d@,regc@,fart,d@,kacb@dein,blei,wecx,Groningen_and_Drenthe
1508-1449157623-76544,na,d@,toc,n,d@,regc@,far,d@,kacpitein,blei,wecx,Groningen_and_Drenthe
15260-1464508003-2096071,na,d@,tocxt,icn,d,regc@n,fart,d@,k@pitein,blei,wecx,Groningen_and_Drenthe
15342-1464340584-2015363,na,d@,tocx,icn,d,regc@n,var,d@,kacb@dein,blei,wecx,Groningen_and_Drenthe
15470-1464644567-2163955,na,d@,tocx,icn,d@,regc@n,fart,d,kacp@tein,blei,wecx,Groningen_and_Drenthe
15527-1466443309-2348781,na,d@,tocxt,n,d@,regc@n,fart,d,kacptein,blei,wecx,Groningen_and_Drenthe
15537-1464554606-2136777,na,d@,tocxt,icn,d@,regc@n,fart,d,kacpitein,blei,wecx,Groningen_and_Drenthe
15591-1464811106-2027074,na,d@,tocxt,n,d@,regc@n,far,d@,kacptein,blei,wecx,Groningen_and_Drenthe
15737-1465508692-2288697,na,d@,tocxt,icn,d,regc@n,fart,d,kacp@tein,blei,wecx,Groningen_and_Drenthe
15908-1464434335-2087341,na,d@,tocxt,icn,d@,regc@,vart,d,kacpitein,blei,wecx,Groningen_and_Drenthe
16209-1464372354-2056691,na,d@,tocxt,n,d,regc,far,d@,kacp@tein,blei,wecx,Groningen_and_Drenthe
16245-1465248497-2107528,na,d@,tocx,n,d@,rex@n,var,d@,kacbidein,blei,wecx,Groningen_and_Drenthe
16266-1464422870-2079664,na,d@,toc,icn,d@,regc@n,far,d@,kacp@tein,blei,wecx,Groningen_and_Drenthe
16334-1464127739-1893927,na,d@,tocxt,n,d@,rex@,fart,d,kacpitein,blei,wecx,Groningen_and_Drenthe
16451-1464365369-2047769,na,d,tocx,icn,d,regc@n,var,d@,kacb@dein,blei,wecx,Groningen_and_Drenthe
16457-1464378722-2059462,na,d,tocxt,n,d,rex@,var,d,kacptein,blei,wecx,Groningen_and_Drenthe
16681-1465501807-2287360,na,d@,tocx,icn,d@,rex@,fart,d,kacpitein,blei,wecx,Groningen_and_Drenthe
1669-1449164062-104009,na,d@,tocx,n,d@,regc@n,fart,d,kacbidein,blei,wecx,Groningen_and_Drenthe
16704-1465672805-2300791,na,d@,tocx,icn,d,regc@n,var,d@,kacpitein,blei,wecx,Groningen_and_Drenthe
16726-1465938682-2317215,na,d@,tocxt,icn,d@,rex@,far,d@,kacpitein,blei,wecx,Groningen_and_Drenthe
16771-1466193840-2333983,na,d@,tocx,icn,d@,regc@,far,d@,kacpitein,blei,wecx,Groningen_and_Drenthe
1687-1449166872-112353,na,d@,toc,n,d@,regc@n,fart,d@,kacp@tein,blei,wecx,Groningen_and_Drenthe
1707-1449560151-467969,na,d@,tocxt,n,d,regc@n,fart,d,kacb@dein,blei,wecx,Groningen_and_Drenthe
17145-1472371924-2438779,na,d@,tocxt,n,d@,regc,fart,d,kacp@tein,blei,wecx,Groningen_and_Drenthe
172-1449071275-13471,na,d@,tocx,n,d@,regc@n,var,d@,kacptein,blei,wecx,Groningen_and_Drenthe
17227-1472373241-2444006,na,d@,tocx,icn,d,regc@,far,d@,kacpitein,blei,wecx,Groningen_and_Drenthe
17301-1472373890-2449174,na,d@,tocx,icn,d,regc@,var,d@,k@pitein,blei,wecx,Groningen_and_Drenthe
17402-1473099289-2483047,na,d@,tocx,icn,d@,rex@n,fart,d,kacpitein,blei,wecx,Groningen_and_Drenthe
17416-1473617956-2485822,na,d@,tocxt,n,d@,regcn,far,d@,kacptein,blei,wecx,Groningen_and_Drenthe
17490-1474968167-2496937,na,d@,tocx,icn,d@,regc,var,d@,kacptein,blei,wecx,Groningen_and_Drenthe
1788-1449175552-138239,na,d@,tocx,n,d@,regc@,far,d@,kacpitein,blei,wecx,Groningen_and_Drenthe
1794-1449176003-140180,na,d@,tocx,n,d@,regc@,far,d@,k@pitein,blei,wecx,Groningen_and_Drenthe
1807-1449178286-144774,na,d@,tocxt,n,d@,regc@n,var,d@,k@pitein,blei,wecx,Groningen_and_Drenthe
1902-1449189088-166189,na,d@,tocxt,n,d,regc@n,fart,d@,kacpitein,blei,wecx,Groningen_and_Drenthe
1944-1449217255-173151,na,d@,tocx,n,d,regcn,far,d,kacpitein,blei,wecx,Groningen_and_Drenthe
203-1449071737-16499,na,d@,toc,n,d@,rex@,far,d@,kacpitein,blei,wecx,Groningen_and_Drenthe
2108-1450213514-218083,na,d@,tocxt,n,d@,regc@n,far,d@,kacpitein,blei,wecx,Groningen_and_Drenthe
214-1449071490-16950,na,d@,tocx,n,d@,regc@n,far,d@,kacp@tein,blei,wecx,Groningen_and_Drenthe
2200-1449264358-236791,na,d,tocx,n,d,regc@n,var,d@,kacptein,blei,wecx,Groningen_and_Drenthe
2310-1449310451-259442,na,d@,tocx,n,d@,regc@,fart,d,kacpitein,blei,wecx,Groningen_and_Drenthe
2349-1449315623-269597,na,d,tocx,n,d@,regc@n,fart,d@,kacpitein,blei,wecx,Groningen_and_Drenthe
235-1449072417-20017,na,d@,tocxt,n,d@,rex@,far,d@,kacpitein,blei,wecx,Groningen_and_Drenthe
2381-1449315223-264931,na,d@,tocx,n,d@,regc@,var,d@,kacpitein,blei,wecx,Groningen_and_Drenthe
2409-1449314637-266935,na,d@,tocxt,n,d@,rex@,far,d@,kacpitein,blei,wecx,Groningen_and_Drenthe
