10167-1464126204-1892602,d,zprei,di,jei,bracx,hef,zysacn,aclteit,acl,gcwiclt,ocmdact,di,so,leuk,stat,bei,hect,gcicl@,lak@n,
10335-1464334868-2010774,d,zprei,di,jei,bracxt,heft,zysacn,aclteit,acl,x@wiclt,ocmdact,di,zo,leuk,stat,bei,hect,gcel@,lak@n,
10442-1465763904-2308245,d,sprei,di,jei,bracxt,heft,sysacn,aclteit,acl,x@wiclt,ocmdact,di,zo,leuk,stat,bei,hect,gcel@,lak@n,
10609-1464158785-1897941,d,sprei,di,jei,bracxt,hef,sysacn,aclteit,l,gcwiclt,mdact,di,zo,leuk,stat,bei,hect,gcicl@,lak@n,
10723-1464113036-1876393,d,sprei,di,jei,bracx,hef,zysacn,aclteit,acl,x@wicl,ocmdact,di,zo,leuk,stat,bei,hect,xel@,lak@,
10895-1464105621-1868773,d@,sprei,di,jei,bracxt,heft,sysacn,aclteit,l,x@wiclt,ocmdact,di,zo,leuk,stat,bei,hect,xicl@,lak@,
11156-1464112410-1875338,d,sprei,di,jei,bracxt,hef,sysacn,aclteit,l,gcwiclt,ocmdact,di,zo,leuk,stat,bei,hect,xicl@,lak@n,
11194-1464199187-1897995,d,zprei,di,jei,bracxt,hef,zysacn,aclteit,acl,x@wiclt,ocmdact,di,zo,leuk,stat,bei,hect,xel@,lak@n,
11791-1464168521-1903525,d@,zprei,di,jei,bracx,ef,zysacn,aclteit,acl,x@wicl,mdact,di,zo,leuk,stat,bei,hect,gcel@,lak@n,
11940-1464166365-1902318,d,zprei,di,jei,bracxt,hef,s@n,aclteit,acl,x@wiclt,ocmdact,di,zo,leuk,stat,bei,hect,gcicl@,lak@,
12145-1464191656-1905926,d@,zprei,di,jei,bracxt,hef,zysacn,aclteit,acl,x@wiclt,mdact,di,zo,leuk,stat,bei,hect,gcicl@,lak@n,
12631-1464259347-1954659,d,zprei,di,jei,bracxt,ef,sysacn,aclteit,acl,x@wicl,mdact,di,zo,leuk,stat,bei,hect,xel@,lak@,
12954-1464213249-1929788,d@,sprei,di,jei,bracxt,eft,sacn,aclteit,acl,gcwiclt,ocmdact,di,so,leuk,stat,bei,hect,xel@,lak@n,
13104-1464300491-2002864,d,zprei,di,jei,bracxt,hef,zysacn,aclteit,acl,gc@wiclt,ocmdact,di,zo,leuk,stat,bei,hect,xel@,lak@,
13285-1464205752-1938369,d,zprei,di,jei,bracxt,hef,sysacn,aclteit,acl,x@wiclt,ocmdact,di,zo,leuk,stat,bei,hect,xel@,lak@n,
13452-1464284308-1975789,d,zprei,di,jei,bracxt,ef,zycsacn,aclteit,acl,x@wicl,ocmdact,di,zo,leuk,stat,bei,hect,xel@,lak@n,
13550-1465925969-2315531,d,sprei,di,jei,bracxt,hef,s@sacn,aclteit,acl,xwiclt,ocmdact,di,zo,leuk,stat,bei,hect,gcicl@,lak@n,
