10015-1465413383-2277971,d,sprei,di,jei,bracxt,ef,sysacn,aclteit,acl,gc@wiclt,ocmdact,di,zo,leuk,stat,bei,hect,xicl@,lak@n,
10029-1466007603-1853038,d,sprei,di,jei,bracxt,ef,sysacn,aclteit,l,xwicl,mdact,di,zo,leuk,stat,bei,hect,gcel@,lak@,
10038-1465762391-2307712,d,sprei,di,jei,bracx,hef,z@sacn,aclteit,acl,gcwicl,@mdact,di,zo,leuk,stat,bei,hect,xel@,lak@,
10103-1464125975-1891758,d,sprei,di,jei,bracxt,hef,sysacn,aclteit,acl,gc@wiclt,ocmdact,di,zo,leuk,stat,bei,hect,gcel@,lak@,
10198-1465816194-2310204,d,sprei,di,jei,bracxt,hef,zysacn,aclteit,acl,gc@wiclt,ocmdact,di,zo,leuk,stat,bei,hect,xel@,lak@n,
10234-1464079220-1853463,d,sprei,di,jei,bracx,hef,zysacn,aclteit,acl,gcwicl,ocmdact,di,zo,leuk,stat,bei,hect,gcicl@,lak@,
10241-1464171239-1905738,d@,sprei,di,jei,bracxt,ef,sysacn,aclteit,acl,gc@wiclt,@mdact,di,zo,leuk,stat,bei,hect,gcicl@,lack@,
10267-1464421611-2079082,d,sprei,di,jei,bracx,ef,sysacn,aclteit,acl,gc@wiclt,mdact,di,so,leuk,stat,bei,hect,gcicl@,lak@,
10295-1464275682-1970804,d,zprei,di,jei,bracx,hef,z@sacn,aclteit,acl,gc@wicl,ocmdact,di,zo,leuk,stat,bei,hect,gcel@,lak@n,
10678-1464092786-1859759,d,zprei,di,jei,bracxt,ef,sysacn,aclteit,acl,gc@wiclt,ocmdact,di,zo,leuk,stat,bei,hect,xicl@,lak@,
10815-1464100534-1864717,d,zprei,di,jei,bracx,ef,z@sacn,aclteit,acl,gcwicl,mdact,di,zo,leuk,stat,bei,hect,gcicl@,lak@n,
10873-1464120912-1884394,d,sprei,di,jei,bracx,eft,sacn,aclteit,acl,gc@wiclt,ocmdact,di,zo,leuk,stat,bei,hect,gcicl@,lak@,
10952-1464213849-1949152,d@,sprei,di,jei,bracxt,eft,z@sacn,aclteit,acl,gc@wiclt,ocmdact,di,zo,leuk,stat,bei,hect,gcicl@,lak@,
10988-1464178433-1910975,d,sprei,di,jei,bracxt,hef,sysacn,aclteit,acl,gc@wiclt,ocmdact,di,zo,leuk,stat,bei,hect,gcel@,lak@n,
11135-1465203768-1868445,d,sprei,di,jei,bracxt,hef,sysacn,aclteit,acl,gc@wiclt,ocmdact,di,so,leuk,stat,bei,hect,gcicl@,lak@n,
11196-1465782862-2309511,d,zprei,di,jei,bracx,eft,s@n,aclteit,l,gcwicl,ocmdact,di,zo,leuk,stat,bei,hect,gcel@,lak@,
11225-1464113926-1876179,d,zprei,di,jei,bracxt,eft,zysacn,aclteit,acl,gc@wicl,ocmdact,di,zo,leuk,stat,bei,hect,xel@,lak@n,
11326-1464177777-1910686,d@,sprei,di,jei,bracxt,ef,sysacn,aclteit,l,gcwiclt,ocmdact,di,zo,leuk,stat,bei,hect,gcel@,lak@n,
11364-1465218268-2257922,d,zprei,di,jei,bracxt,hef,zysacn,aclteit,acl,gcwicl,ocmdact,di,zo,leuk,stat,bei,hect,gcicl@,lak@,
11440-1464718386-2176765,d@,sprei,di,jei,bracx,heft,sycsacn,aclteit,l,gc@wicl,@mdact,di,zo,leuk,stat,bei,hect,gcicl@,lack@,
11719-1464169589-1904149,d,zprei,di,jei,bracx,ef,z@sacn,aclteit,acl,gc@wiclt,ocmdact,di,zo,leuk,stat,bei,hect,gcicl@,lak@n,
12170-1464534213-2124639,d,sprei,di,jei,bracx,ef,z@sacn,aclteit,acl,gc@wiclt,@mdact,di,zo,leuk,stat,bei,hect,gcel@,lak@,
12187-1464173059-1907216,d,sprei,di,jei,bracx,hef,zysacn,aclteit,acl,xwiclt,ocmdact,di,zo,leuk,stat,bei,hect,gcicl@,lak@,
12279-1470565835-2265835,d@,sprei,di,jei,bracxt,ef,sysacn,aclteit,l,gcwiclt,ocmdact,di,zo,leuk,stat,bei,hect,xel@,lak@,
12292-1465133071-2240647,d,sprei,di,jei,bracxt,hef,sysacn,aclteit,acl,gcwiclt,ocmdact,di,zo,leuk,stat,bei,hect,xel@,lak@n,
12308-1465765104-2308647,d,sprei,di,jei,bracx,heft,sysacn,aclteit,acl,xwiclt,ocmdact,di,zo,leuk,stat,bei,hect,xel@,lak@n,
12535-1464187170-1917690,d,zprei,di,jei,bracxt,ef,zysacn,aclteit,acl,x@wiclt,ocmdact,di,zo,leuk,stat,bei,hect,gcicl@,lak@,
12960-1464200364-1931576,d,zprei,di,jei,bracxt,hef,sysacn,aclteit,l,gc@wiclt,ocmdact,di,zo,leuk,stat,bei,hect,xicl@,lak@n,
13066-1464202186-1930817,d,sprei,di,jei,bracxt,hef,sysacn,aclteit,acl,gcwiclt,ocmdact,di,zo,leuk,stat,bei,hect,gcicl@,lak@,
13371-1464258131-1958794,d,sprei,di,jei,bracx,heft,zysacn,aclteit,acl,gc@wicl,ocmdact,di,zo,leuk,stat,bei,hect,gcel@,lak@,
13627-1464338414-2012492,d,zprei,di,jei,bracxt,ef,zysacn,aclteit,acl,gc@wiclt,ocmdact,di,zo,leuk,stat,bei,hect,gcicl@,lak@n,
13862-1464259801-1959628,d,zprei,di,jei,bracxt,ef,z@sacn,aclteit,acl,gc@wicl,@mdact,di,zo,leuk,stat,bei,hect,gcel@,lak@n,
13969-1464262593-1960769,d,sprei,di,jei,bracx,hef,s@s@n,aclteit,l,gc@wiclt,ocmdact,di,zo,leuk,stat,bei,hect,gcicl@,lak@,
14111-1477306573-2415171,d@,sprei,di,jei,bracxt,hef,sysacn,aclteit,acl,gc@wicl,ocmdact,di,zo,leuk,stat,bei,hect,gcel@,lak@n,
14556-1464432509-2086066,d,sprei,di,jei,bracxt,eft,sysacn,aclteit,acl,x@wiclt,ocmdact,di,zo,leuk,stat,bei,hect,gcel@,lak@n,
14759-1464463016-2104106,d,sprei,di,jei,bracx,hef,sysacn,aclteit,acl,xwiclt,ocmdact,di,zo,leuk,stat,bei,hect,gcicl@,lak@n,
14812-1465500966-2286794,d@,zprei,di,jei,bracx,ef,sn,aclteit,l,gcwicl,@mdact,di,zo,leuk,stat,bei,hect,gcicl@,lak@,
14847-1467748522-2396589,d@,sprei,di,jei,bracx,ef,sysacn,aclteit,acl,gcwicl,ocmdact,di,so,leuk,stat,bei,hect,gcel@,lak@,
14976-1464473552-2110559,d,sprei,di,jei,bracxt,hef,z@sacn,aclteit,acl,gcwiclt,mdact,di,zo,leuk,stat,bei,hect,gcel@,lack@,
1499-1449157564-75924,d,sprei,di,jei,bracxt,hef,sysacn,aclteit,acl,gc@wicl,@mdact,di,zo,leuk,stat,bei,hect,xicl@,lak@n,
15101-1464939250-2216814,d,sprei,di,jei,bracx,ef,zycsacn,aclteit,l,gc@wicl,mdact,di,zo,leuk,stat,bei,hect,gcicl@,lak@,
15579-1465156083-2243591,d,sprei,di,jei,bracxt,ef,sacn,aclteit,l,gc@wiclt,ocmdact,di,zo,leuk,stat,bei,hect,xicl@,lak@n,
15588-1464943538-2217146,d,zprei,di,jei,bracxt,hef,sysacn,aclteit,acl,x@wiclt,ocmdact,di,zo,leuk,stat,bei,hect,gcel@,lak@n,
15592-1465469779-2283059,d,zprei,di,jei,bracx,hef,sysacn,aclteit,acl,gc@wiclt,ocmdact,di,zo,leuk,stat,bei,hect,gcel@,lak@n,
1568-1450186403-685681,d@,zprei,di,jei,bracx,eft,sysacn,aclteit,acl,gcwiclt,mdact,di,zo,leuk,stat,bei,hect,gcel@,lak@,
15779-1464355225-2033042,d,sprei,di,jei,bracx,hef,zysacn,aclteit,l,gc@wiclt,@mdact,di,zo,leuk,stat,bei,hect,gcicl@,lak@n,
15781-1465020259-2229334,d,sprei,di,jei,bracx,hef,zysacn,aclteit,acl,gc@wiclt,ocmdact,di,zo,leuk,stat,bei,hect,xel@,lak@n,
15937-1464367356-2050480,d,sprei,di,jei,bracxt,ef,z@sacn,aclteit,acl,gc@wiclt,ocmdact,di,zo,leuk,stat,bei,hect,gcel@,lak@n,
15955-1464367953-2051081,d@,sprei,di,jei,bracxt,hef,zysacn,aclteit,acl,gc@wiclt,@mdact,di,zo,leuk,stat,bei,hect,xel@,lak@n,
15972-1464362762-2043189,d,sprei,di,jei,bracx,hef,zysacn,aclteit,acl,gc@wiclt,ocmdact,di,zo,leuk,stat,bei,hect,xicl@,lak@,
16149-1464367384-2050153,d@,sprei,di,jei,bracxt,ef,sysacn,aclteit,acl,gcwiclt,@mdact,di,zo,leuk,stat,bei,hect,gcicl@,lak@,
