10147-1464186409-1917281,d,sprei,di,jei,bracxt,hef,sacn,aclteit,acl,gcwiclt,ocmdact,di,so,leuk,stat,bei,hect,xel@,lak@,
10185-1464080891-1853701,d,zprei,di,jei,bracxt,hef,zysacn,aclteit,l,x@wiclt,ocmdact,di,zo,leuk,stat,bei,hect,xel@,lak@n,
10238-1464473859-2110693,d,sprei,di,jei,bracxt,hef,sysacn,aclteit,acl,x@wiclt,mdact,di,zo,leuk,stat,bei,hect,gcel@,lak@n,
10566-1464766835-2185106,d,sprei,di,jei,bracxt,hef,sysacn,aclteit,acl,gc@wiclt,ocmdact,di,so,leuk,stat,bei,hect,xicl@,lak@n,
11028-1464386284-2073036,d,zprei,di,jei,bracxt,hef,z@sacn,aclteit,acl,gc@wiclt,ocmdact,di,zo,leuk,stat,bei,hect,gcel@,lak@n,
11153-1464724518-2180361,d,zprei,di,jei,bracxt,hef,zysacn,aclteit,acl,xwiclt,ocmdact,di,zo,leuk,stat,bei,hect,gcel@,lak@,
11271-1464809028-2086239,d,sprei,di,jei,bracxt,heft,sysacn,aclteit,l,gc@wiclt,mdact,di,zo,leuk,stat,bei,hect,xel@,lak@n,
11279-1464304417-1875031,d,sprei,di,jei,bracx,ef,sycsacn,aclteit,acl,x@wicl,mdact,di,so,leuk,stat,bei,hect,xel@,lak@,
11291-1464198137-1928429,d@,zprei,di,jei,bracx,hef,z@sacn,aclteit,acl,x@wiclt,ocmdact,di,zo,leuk,stat,bei,hect,xel@,lak@,
11338-1464212171-1945848,d,sprei,di,jei,bracxt,ef,zycsacn,aclteit,acl,gcwiclt,ocmdact,di,zo,leuk,stat,bei,hect,xicl@,lack@n,
11437-1464115075-1877762,d,sprei,di,jei,bracx,hef,zysacn,aclteit,acl,xwiclt,ocmdact,di,so,leuk,stat,bei,hect,xel@,lak@n,
11438-1464114869-1878519,d,zprei,di,jei,bracxt,hef,zysacn,aclteit,acl,x@wiclt,ocmdact,di,so,leuk,stat,bei,hect,xel@,lak@n,
115-1449070494-10236,d,zprei,di,jei,bracxt,hef,sysacn,aclteit,l,gcwiclt,ocmdact,di,zo,leuk,stat,bei,hect,gcel@,lak@,
11665-1464185644-1916520,d,zprei,di,jei,bracxt,ef,zysacn,aclteit,l,gc@wiclt,ocmdact,di,zo,leuk,stat,bei,hect,xel@,lak@,
11863-1464244916-1954717,d,zprei,di,jei,bracxt,hef,sysacn,aclteit,acl,x@wicl,ocmdact,di,zo,leuk,stat,bei,hect,xel@,lak@n,
11968-1465942877-2317485,d,sprei,di,jei,bracx,hef,sycsacn,aclteit,acl,x@wiclt,@mdact,di,so,leuk,stat,bei,hect,xel@,lak@n,
12233-1464256077-1911214,d@,sprei,di,jei,bracxt,hef,sysacn,aclteit,acl,gc@wiclt,ocmdact,di,zo,leuk,stat,bei,hect,xicl@,lak@n,
12421-1465488800-2280747,d,sprei,di,jei,bracx,hef,zysacn,aclteit,acl,x@wiclt,mdact,di,zo,leuk,stat,bei,hect,gcel@,lak@,
12923-1464630046-2155544,d,sprei,di,jei,bracxt,heft,sacn,aclteit,acl,x@wiclt,ocmdact,di,zo,leuk,stat,bei,hect,xel@,lak@n,
12978-1464278632-1973630,d@,zprei,di,jei,bracx,hef,zysacn,aclteit,acl,x@wicl,ocmdact,di,zo,leuk,stat,bei,hect,gcel@,lak@n,
12987-1464510053-2114333,d,sprei,di,jei,bracxt,hef,sysacn,aclteit,acl,gc@wiclt,mdact,di,so,leuk,stat,bei,hect,xel@,lak@n,
13042-1464198833-1930259,d,sprei,di,jei,bracx,hef,zysacn,aclteit,acl,gc@wiclt,ocmdact,di,zo,leuk,stat,bei,hect,xel@,lak@n,
13411-1464295228-1996444,d@,zprei,di,jei,bracxt,hef,zysacn,aclteit,acl,gc@wicl,ocmdact,di,zo,leuk,stat,bei,hect,xel@,lak@n,
13602-1464259176-1959385,d,sprei,di,jei,bracxt,hef,sysacn,aclteit,acl,gcwiclt,ocmdact,di,zo,leuk,stat,bei,hect,xicl@,lak@,
13856-1464262756-1960660,d,sprei,di,jei,bracxt,hef,zysacn,aclteit,acl,gc@wiclt,ocmdact,di,zo,leuk,stat,bei,hect,xel@,lak@n,
1393-1449156490-64622,d,zprei,di,jei,bracxt,hef,zysacn,aclteit,acl,xwiclt,ocmdact,di,zo,leuk,stat,bei,hect,xel@,lak@,
13982-1464906582-2215229,d,zprei,di,jei,bracx,hef,sacn,aclteit,l,gc@wicl,@mdact,di,zo,leuk,stat,bei,hect,gcicl@,lack@n,
14112-1464291965-1990786,d@,zprei,di,jei,bracx,ef,z@sacn,aclteit,acl,gcwicl,mdact,di,zo,leuk,stat,bei,hect,xicl@,lak@,
1421-1449156403-65972,d@,sprei,di,jei,bracxt,eft,sysacn,aclteit,acl,gc@wiclt,ocmdact,di,so,leuk,stat,bei,hect,xel@,lak@n,
14576-1464467246-2107187,d@,sprei,di,jei,bracxt,hef,sacn,aclteit,acl,x@wiclt,ocmdact,di,zo,leuk,stat,bei,hect,xel@,lak@n,
14654-1464283295-1978657,d,sprei,di,jei,bracxt,hef,z@sacn,aclteit,acl,xwiclt,ocmdact,di,zo,leuk,stat,bei,hect,xel@,lak@n,
14893-1466454420-2350165,d,sprei,di,jei,bracxt,hef,sysacn,aclteit,acl,gc@wiclt,ocmdact,di,zo,leuk,stat,bei,hect,gcel@,lak@n,
14951-1464609083-2140774,d@,zprei,di,jei,bracxt,hef,zysacn,aclteit,acl,x@wiclt,ocmdact,di,zo,leuk,stat,bei,hect,xel@,lak@,
1508-1449157588-76545,d,zprei,di,jei,bracxt,ef,z@sacn,aclteit,acl,x@wiclt,ocmdact,di,zo,leuk,stat,bei,hect,xel@,lak@n,
15260-1464507240-2096072,d,sprei,di,jei,bracxt,hef,sysacn,aclteit,acl,gcwiclt,ocmdact,di,zo,leuk,stat,bei,hect,gcicl@,lak@n,
15342-1464340322-2015362,d,zprei,di,jei,bracxt,hef,z@sacn,aclteit,l,gcwiclt,ocmdact,di,zo,leuk,stat,bei,hect,xel@,lak@n,
15470-1464644232-2163956,d,zprei,di,jei,bracx,hef,zysacn,aclteit,acl,gcwiclt,ocmdact,di,zo,leuk,stat,bei,hect,xel@,lak@,
15527-1466443251-2348782,d,zprei,di,jei,bracx,hef,z@sacn,aclteit,acl,x@wiclt,ocmdact,di,zo,leuk,stat,bei,hect,gcel@,lak@n,
15537-1464554712-2136778,d,sprei,di,jei,bracx,hef,sysacn,aclteit,acl,x@wiclt,ocmdact,di,zo,leuk,stat,bei,hect,gcel@,lak@n,
15591-1464811098-2027073,d,sprei,di,jei,bracx,hef,sysacn,aclteit,acl,gc@wicl,ocmdact,di,so,leuk,stat,bei,hect,xel@,lak@,
15737-1465508205-2288696,d,sprei,di,jei,bracx,hef,zysacn,aclteit,acl,gc@wiclt,ocmdact,di,zo,leuk,stat,bei,hect,gcel@,lak@n,
