10185-1464085018-1854855,sacx,knocrt,hect,facrk@,icn,d@,wei,@n,karackt@r@stik,gc@luit,Groningen_and_Drenthe
11271-1464811681-2196983,sacxt,knocr,hect,facrk@n,icn,d,wei,@,kacrackt@r@stik,x@luit,Groningen_and_Drenthe
11279-1464371359-2055317,sacx,knocrt,hect,facrk@n,icn,d@,wei,n,karackt@r@stik,x@luit,Groningen_and_Drenthe
11437-1464117588-1880721,sacxt,kn@r,hect,facrk@,icn,d@,wei,n,karackt@r@stik,x@luit,Groningen_and_Drenthe
11438-1464215579-1950238,sacxt,knocrt,hect,facrk@n,icn,d@,wei,@n,karackt@r@stik,x@luit,Groningen_and_Drenthe
11665-1464188524-1920307,zacxt,knocr,hect,facrk@,icn,d@,wei,@n,kacrackt@r@stik,x@luit,Groningen_and_Drenthe
12233-1464367763-2050204,sacxt,knocr,hect,facrk@,icn,d@,wei,@n,karackt@r@stik,gcluit,Groningen_and_Drenthe
12923-1464632025-2156991,zacxt,knocrt,hect,facrk@n,icn,d@,wei,@,kacrackt@r@stik,x@luit,Groningen_and_Drenthe
13042-1464201204-1933059,zacx,knocr,hect,vacrk@n,icn,d@,wei,@n,kacrackt@r@stik,x@luit,Groningen_and_Drenthe
13411-1464763755-2174928,zacxt,knocrt,hect,facrk@n,icn,d@,wei,n,karackt@r@stik,gc@luit,Groningen_and_Drenthe
13856-1464274231-1969422,zacxt,knocr,hect,facrk@n,icn,d@,wei,@n,kacrackt@r@stik,gc@luit,Groningen_and_Drenthe
14112-1466320169-2340475,sacxt,knrt,hect,facrk@n,icn,d,wei,@n,karackt@r@stik,x@luit,Groningen_and_Drenthe
14576-1464469097-2108387,sacxt,knocr,hect,vacrk@,icn,d@,wei,@n,karackt@r@stik,x@luit,Groningen_and_Drenthe
15260-1464544623-2129404,zacxt,knocrt,hect,facrk@,icn,d,wei,n,karackt@r@stik,x@luit,Groningen_and_Drenthe
15527-1466446580-2349330,sacx,knocrt,hect,facrk@,icn,d@,wei,n,karackt@r@stik,gc@luit,Groningen_and_Drenthe
