csv_id,filename,region,ID,pronunciation,word
1,13982-1464906582-2215229,Groningen_and_Drenthe,1,d,de
2,14112-1464291965-1990786,Groningen_and_Drenthe,1,d@,de
3,1421-1449156403-65972,Groningen_and_Drenthe,1,d@,de
4,14576-1464467246-2107187,Groningen_and_Drenthe,1,d@,de
5,14654-1464283295-1978657,Groningen_and_Drenthe,1,d,de
6,14893-1466454420-2350165,Groningen_and_Drenthe,1,d,de
7,14951-1464609083-2140774,Groningen_and_Drenthe,1,d@,de
8,1508-1449157588-76545,Groningen_and_Drenthe,1,d,de
9,15260-1464507240-2096072,Groningen_and_Drenthe,1,d,de
10,15342-1464340322-2015362,Groningen_and_Drenthe,1,d,de
11,15470-1464644232-2163956,Groningen_and_Drenthe,1,d,de
12,15527-1466443251-2348782,Groningen_and_Drenthe,1,d,de
13,15537-1464554712-2136778,Groningen_and_Drenthe,1,d,de
14,15591-1464811098-2027073,Groningen_and_Drenthe,1,d,de
15,15737-1465508205-2288696,Groningen_and_Drenthe,1,d,de
16,15908-1464434539-2087340,Groningen_and_Drenthe,1,d,de
17,16209-1464372204-2056692,Groningen_and_Drenthe,1,d,de
18,16245-1465248485-2107527,Groningen_and_Drenthe,1,d@,de
19,16266-1464422528-2079663,Groningen_and_Drenthe,1,d,de
20,16334-1464127551-1893926,Groningen_and_Drenthe,1,d,de
21,16451-1464479044-2047770,Groningen_and_Drenthe,1,d,de
22,16457-1464378948-2059463,Groningen_and_Drenthe,1,d,de
23,16681-1465501948-2287361,Groningen_and_Drenthe,1,d,de
24,1669-1449163904-104010,Groningen_and_Drenthe,1,d,de
25,16704-1465673267-2300792,Groningen_and_Drenthe,1,d,de
26,16726-1465938667-2317214,Groningen_and_Drenthe,1,d@,de
27,16771-1466194170-2333982,Groningen_and_Drenthe,1,d@,de
28,1687-1449167106-112352,Groningen_and_Drenthe,1,d,de
29,1707-1449560455-467970,Groningen_and_Drenthe,1,d,de
30,17145-1472372187-2438778,Groningen_and_Drenthe,1,d,de
31,172-1449070436-13470,Groningen_and_Drenthe,1,d,de
32,17227-1472373580-2444007,Groningen_and_Drenthe,1,d,de
33,17301-1472373903-2449173,Groningen_and_Drenthe,1,d,de
34,17402-1473098808-2483046,Groningen_and_Drenthe,1,d,de
35,17416-1473618106-2485823,Groningen_and_Drenthe,1,d@,de
36,17490-1474968216-2496938,Groningen_and_Drenthe,1,d,de
37,1788-1449175971-138240,Groningen_and_Drenthe,1,d@,de
38,1794-1449176631-140181,Groningen_and_Drenthe,1,d,de
39,1807-1449177557-144773,Groningen_and_Drenthe,1,d,de
40,1902-1449189406-166188,Groningen_and_Drenthe,1,d,de
41,1944-1449216455-173150,Groningen_and_Drenthe,1,d,de
42,203-1449070985-16500,Groningen_and_Drenthe,1,d,de
43,2108-1449330374-218084,Groningen_and_Drenthe,1,d,de
44,214-1449071451-16949,Groningen_and_Drenthe,1,d,de
45,2200-1449263922-236792,Groningen_and_Drenthe,1,d,de
46,2310-1449310626-259441,Groningen_and_Drenthe,1,d,de
47,2349-1449315607-269598,Groningen_and_Drenthe,1,d@,de
48,235-1449072333-20018,Groningen_and_Drenthe,1,d@,de
49,2381-1449315727-264932,Groningen_and_Drenthe,1,d,de
50,2409-1449314760-266934,Groningen_and_Drenthe,1,d,de
51,243-1449244911-21049,Groningen_and_Drenthe,1,d,de
52,2499-1449338121-288153,Groningen_and_Drenthe,1,d,de
53,2551-1449324742-286511,Groningen_and_Drenthe,1,d,de
54,2572-1449331828-291106,Groningen_and_Drenthe,1,d,de
55,266-1449074352-24359,Groningen_and_Drenthe,1,d,de
56,28-1449002700-1825,Groningen_and_Drenthe,1,d@,de
57,2825-1450543213-333041,Groningen_and_Drenthe,1,d@,de
58,2860-1449395608-337074,Groningen_and_Drenthe,1,d,de
59,2963-1449406105-352159,Groningen_and_Drenthe,1,d,de
60,2964-1449405139-352987,Groningen_and_Drenthe,1,d,de
61,298-1449076082-27150,Groningen_and_Drenthe,1,d,de
62,299-1449075938-27363,Groningen_and_Drenthe,1,d,de
63,2998-1449408055-357256,Groningen_and_Drenthe,1,d,de
64,3041-1449409963-362073,Groningen_and_Drenthe,1,d,de
65,3054-1449412091-365275,Groningen_and_Drenthe,1,d,de
66,3084-1449417401-372630,Groningen_and_Drenthe,1,d,de
