fv600025,0.000,4.147,In d@ hav@ vAn GEnt Is @r @n GAslEk bE+ @t xemis b@drE+f ysebe
fv600025,4.147,7.717,h@t xat Om @ rejAktOrvAt warY+t AmOnjAk OntsnApt
fv600025,7.717,10.000,zEGd brAntwerkOmAndAnt d@ buv@r@
fv600025,68.073,70.653,brAntwerkOmAndAnd_d@ buv@r bE+ wErn@r trijo
fv600025,70.653,75.566,faz@ twe vAn @t rAmp@plAn Is Afx@kOnd@xd_dAd b@tek@d_dAd_d@ bYrG@mest@r koOrdinert
fv600025,75.566,81.029,d@ brAntwer Is nOx t@r plats@ sam@ mEd_d@ dinst lefmilj2 En d@ GEnts@ milj2koOrdinatOr
fv600025,10.000,13.957,mEn heft @ Ons Om neG@n yr en@nvE+ft@x
fv600025,13.957,19.187,@n @ GAslEk x@mElt Op @t @ tErE+n vAn ysebe In d@ pAnts@sxIpstrat
fv600025,21.040,26.239,Ob dAd oG@mblIk wAz dAt nOx ni vAstx@stElt v@mud@l@k xat @t vor @n G@delt@ ov@r AmOnjAkxAs
fv600025,29.340,33.350,@ d@ mEns@n In d@ byrt sE+n dYs blE+gbar nit In G@var
fv600025,36.260,41.430,@ zE+ moG@ G@won rOntlop@n mar AmOnjAk eft @n zer laG@ r2kxrEns
fv600025,41.430,44.066,dYs tAt wOrt @ zer G@mAkl@k warG@nom@
fv600025,50.691,52.440,@ jA dAt Is AltE+t sO-w-E
fv600025,60.288,65.024,@ Ik_kAn dar @ Gen @ mEldIN ov@r dun
fv600025,65.024,68.073,Ik hEp xen prOblem @ mEt ysebe
fv600025,19.187,20.878,ov@r wEl@k xAs xat @t
fv600025,26.194,29.398,m En @ wAt @ mut@ d@ mEns@ In d@ byrt_tun
fv600025,33.358,36.314,nit In G@var dYs_sE+ moG@ G@won rOntlop@ E+G@l@k
fv600025,43.977,50.718,dYs mEd And@r@ word@ Als_sE+ rY+k@ dAt @t hel stErk @ Gat @ stINk@ dAn mak@ z@ zIG bet@r Y+t_t@ vut@
fv600025,52.420,58.273,ja @t Iz @ Alwer bE+ ysebe E hAl@f sEptEmb@r wAs @r ok Al @n GAswOlk @n tE+t x@led@
fv600025,58.273,60.258,u zIt @t mEt_t@ vE+l@xE+t In dAd b@drE+f
fv600053,0.000,5.350,d@ v@ren@Gd@ stat@ zE+n vAm plAn Om d@ latst@ kErnbOm@ wEx t@ hal@ Y+t sev@ 2ropes@ lAnd@
fv600053,5.350,6.779,wElIxt ok Y+t bElGij@
fv600053,6.779,9.559,dAt mElt @t frAns@ pErsAGEntsxAp aEfpe
fv600053,9.559,12.950,Ob_bazIs fAn diplOmAtik@ En militE:r@ brOn@ In brYs@l
fv600053,12.950,15.080,h@d b@rIxt Is nErG@s b@vEst@xt
fv600053,29.046,33.065,tE+d@z d@ kA+d@ orlOx must@ z@ @n anvAl vAn @t ozdblOk AfsxrIk@
fv600053,33.065,39.319,@t Iz @m pyblik x@hE+m dAt Ob d@ lYxtmAGdbazIs klE+n@ broG@l In lImbYrx @n tintAl AtomkOp@ v@rbOrG@ zE+n
fv600053,39.319,41.766,Ond@r d@ lots@ vAn d@ G@vExtsflixtY+G@
fv600053,41.766,44.605,mar d@ r@GerIN heft_tAt nojt Ofisjel b@vEst@xt
fv600053,44.605,47.990,z@ rip fE+l@xhE+tsov@rweGIN@ En_navOInstrYksis In
fv600053,62.427,68.195,og d@ Grun@ pArtE+ AGAlEf En d@ demokratis nAsjOnAlist@ vAn d@ vOlksyni zE+n blE+ mEd_d@ OntwIk@lIN
fv600053,68.195,71.906,AGAlEf E+st mer Y+tlEx fAn d@ bOntx@not@ ZOs xE+z@ls
fv600053,93.187,94.693,ZOs xE+s@ls
