10147-1464188232-1919794,sc@nect,lacxt,nadact,s,do,n,ocn@kecnd@,pson,ics,gc@kust,
10185-1464084502-1854549,sc@nect,lacx,nadact,z@,do,@,ocnb@kecnd@,prson,ics,gc@kus,
10238-1464707795-2142805,sc@nect,lacxt,nadact,s@,do,@,ocn@kecnd@,prson,ics,x@kust,
10566-1464768532-2185606,sc@nect,lacx,ndact,s,do,n,ocnb@kecnd@,p@son,ics,x@kust,
11153-1465405524-2276680,sc@nect,lacx,nadact,s@,dor,@,ocnb@kecnd@,prson,ics,gc@kust,
11271-1464811258-2196494,sc@nect,lacxt,nadact,s,do,@,ocn@kecnd@,prson,ics,x@kust,
11279-1464370496-2054367,z@nect,lacxt,nadact,s@,do,@n,ocn@kecnd@,p@rson,ics,gc@kus,
11338-1464213708-1948724,sc@nect,lacx,ndact,s,do,@,ocn@kecnd@,pson,ics,gc@kus,
11437-1464116629-1879706,sc@nect,lacxt,nadact,s@,do,@,ocnb@kecnd@,p@son,ics,x@kus,
11438-1464213359-1948641,sc@nect,lacx,nadact,s@,dor,@n,ocn@kecnd@,p@rson,ics,gc@kus,
115-1449080018-33409,sc@nect,lacx,nadact,s,dor,@n,ocn@kecnd@,p@son,ics,gc@kus,
11665-1464187367-1918809,z@nect,lacxt,nadact,s@,dor,@,ocnb@kecnd@,prson,ics,x@kust,
12233-1464296262-1980258,sc@nect,lacxt,n@dact,s,do,@n,ocnb@kecnd@,prson,ics,x@kust,
12421-1465571690-2286576,z@nect,lacx,nadact,s@,dor,@,ocn@kecnd@,p@son,ics,x@kus,
12923-1464631894-2156408,z@nect,lacxt,nadact,s@,dor,n,ocnb@kecnd@,pson,ics,gc@kust,
12987-1464604105-2144484,sc@nect,lacxt,nadact,s@,dor,n,ocnb@kecnd@,prson,ics,x@kust,
13042-1464200264-1931995,sc@nect,lacx,nadact,s@,do,@,ocn@kecnd@,p@son,ics,x@kus,
13411-1464297265-1998299,z@nect,lacxt,n@dact,s@,do,@,ocnb@kecnd@,p@son,ics,gc@kus,
13602-1464261337-1960171,sc@nect,lacx,nadact,s,do,@,ocnb@kecnd@,prson,ics,x@kust,
13856-1464264093-1961569,sc@nect,lacx,nadact,s@,do,@,ocn@kecnd@,p@son,ics,gc@kust,
14112-1465383306-2274521,z@nect,lacxt,n@dact,s,dor,n,ocn@kecnd@,pson,ics,gc@kus,
14576-1464468621-2107941,sc@nect,lacx,nadact,s@,dor,@,ocnb@kecnd@,pson,ics,x@kust,
15260-1464509452-2114115,sc@nect,lacxt,nacdact,s@,do,n,ocnb@kecnd@,prson,ics,x@kust,
15527-1466444047-2349186,sc@nect,lacx,nadact,s,dor,@,ocn@kecnd@,p@son,ics,gc@kust,
15537-1466621254-2363299,sc@nect,lacxt,nadact,z@,do,n,ocnb@kecnd@,p@son,ics,x@kust,
16209-1464515554-2117515,sc@nect,lacx,n@dact,z,do,n,ocnb@kecnd@,p@son,ics,gc@kust,
16245-1465250202-2264311,z@nect,lacxt,nadact,z,dor,n,ocnb@kecnd@,p@son,ics,gc@kust,
16266-1464423948-2080317,sc@nect,lacxt,nacdact,s@,do,@n,ocnb@kecnd@,prson,ics,x@kust,
16334-1464156888-1897346,sc@nect,lacxt,nadact,s,dor,@,ocn@kecnd@,p@son,ics,x@kust,
16451-1465258527-2112467,sc@nect,lacxt,nadact,s@,dor,n,ocnb@kecnd@,prson,ics,x@kus,
16681-1465849665-2312715,z@nect,lacxt,nadact,s@,dor,@n,ocnb@kecnd@,prson,ics,gc@kust,
1669-1449217965-174402,z@nect,lacxt,n@dact,s,do,@,ocnb@kecnd@,p@son,ics,gc@kust,
16704-1465675332-2301368,z@nect,lacxt,nadact,s@,dor,@,ocnb@kecnd@,prson,ics,x@kust,
16771-1466357838-2342844,z@nect,lacx,nadact,z,do,@n,ocnb@kecnd@,p@son,ics,x@kust,
1687-1449168883-118393,sc@nect,lacx,nadact,s,do,n,ocnb@kecnd@,prson,ics,gc@kus,
1707-1449561816-468310,sc@nect,lacxt,nadact,s@,do,n,ocnb@kecnd@,p@son,ics,x@kus,
17145-1472373218-2444218,sc@nect,lacxt,nadact,s@,do,@,ocnb@kecnd@,p@son,ics,x@kust,
172-1449073778-23514,sc@nect,lacx,n@dact,s@,do,@,ocn@kecnd@,p@rson,ics,gc@kus,
17227-1472723777-2453842,z@nect,lacx,nadact,s,do,@,ocnb@kecnd@,prson,ics,x@kust,
17301-1472375539-2457030,z@nect,lacx,n@dact,s@,do,@n,ocnb@kecnd@,p@son,ics,x@kus,
17402-1473101037-2483174,sc@nect,lacx,nadact,s@,dor,@,ocnb@kecnd@,p@son,ics,gc@kust,
1807-1449231175-190862,sc@nect,lacxt,nacdact,s@,do,n,ocnb@kecnd@,prson,ics,gc@kus,
203-1449075147-25248,z@nect,lacxt,n@dact,z,dor,n,ocn@kecnd@,prson,ics,x@kust,
2108-1450886287-769637,sc@nect,lacxt,nadact,z,do,@,ocn@kecnd@,prson,ics,gc@kus,
214-1449569356-84080,z@nect,lacxt,nadact,s@,dor,@n,ocnb@kecnd@,prson,ics,gc@kust,
2349-1449317349-274614,sc@nect,lacxt,nacdact,s,do,n,ocnb@kecnd@,prson,ics,x@kust,
2381-1450103823-670635,z@nect,lacxt,nadact,s@,do,@n,ocnb@kecnd@,p@son,ics,x@kust,
2409-1449402796-349231,sc@nect,lacx,nadact,s@,do,n,ocn@kecnd@,p@son,ics,gc@kust,
243-1449320452-211337,z@nect,lacx,nadact,z@,dor,n,ocn@kecnd@,p@son,ics,gc@kust,
2499-1449341406-306188,sc@nect,lacxt,nacdact,s,do,n,ocnb@kecnd@,p@son,ics,x@kus,
2825-1450544973-725565,z@nect,lacx,n@dact,z@,dor,n,ocn@kecnd@,p@son,ics,gc@kus,
2963-1449439498-402912,sc@nect,lacx,nadact,z@,dor,n,ocnb@kecnd@,p@son,ics,gc@kust,
2964-1468313926-2402657,sc@nect,lacx,nadact,s@,dor,@n,ocn@kecnd@,prson,ics,x@kust,
298-1449078990-32083,z@nect,lacx,nadact,z,dor,n,ocnb@kecnd@,prson,ics,gc@kust,
299-1449078189-30695,sc@nect,lacxt,nadact,s@,dor,@,ocn@kecnd@,prson,ics,gc@kust,
3041-1449411782-364773,z@nect,lacx,nadact,z@,dor,@,ocn@kecnd@,p@son,ics,x@kust,
3054-1449434627-395233,sc@nect,lacx,n@dact,s@,do,@n,ocnb@kecnd@,p@rson,ics,gc@kus,
313-1457822089-1615187,z@nect,lacxt,nadact,s,do,@n,ocnb@kecnd@,prson,ics,x@kust,
318-1449078182-31761,sc@nect,lacx,nadact,s@,dor,n,ocnb@kecnd@,prson,ics,x@kus,
3282-1449502365-431899,sc@nect,lacx,nadact,s@,do,@n,ocn@kecnd@,p@rson,ics,gc@kust,
333-1449176519-139638,z@nect,lacxt,nadact,s@,dor,@,ocn@kecnd@,p@son,ics,x@kust,
3354-1449517586-449704,sc@nect,lacx,nadact,s@,do,n,ocnb@kecnd@,p@rson,ics,x@kust,
