10147-1464188232-1919794,sc@nect,lacxt,nadact,s,do,n,ocn@kecnd@,pson,ics,gc@kust,Groningen_and_Drenthe
10185-1464084502-1854549,sc@nect,lacx,nadact,z@,do,@,ocnb@kecnd@,prson,ics,gc@kus,Groningen_and_Drenthe
10238-1464707795-2142805,sc@nect,lacxt,nadact,s@,do,@,ocn@kecnd@,prson,ics,x@kust,Groningen_and_Drenthe
10566-1464768532-2185606,sc@nect,lacx,ndact,s,do,n,ocnb@kecnd@,p@son,ics,x@kust,Groningen_and_Drenthe
11153-1465405524-2276680,sc@nect,lacx,nadact,s@,dor,@,ocnb@kecnd@,prson,ics,gc@kust,Groningen_and_Drenthe
11271-1464811258-2196494,sc@nect,lacxt,nadact,s,do,@,ocn@kecnd@,prson,ics,x@kust,Groningen_and_Drenthe
11279-1464370496-2054367,z@nect,lacxt,nadact,s@,do,@n,ocn@kecnd@,p@rson,ics,gc@kus,Groningen_and_Drenthe
11338-1464213708-1948724,sc@nect,lacx,ndact,s,do,@,ocn@kecnd@,pson,ics,gc@kus,Groningen_and_Drenthe
11437-1464116629-1879706,sc@nect,lacxt,nadact,s@,do,@,ocnb@kecnd@,p@son,ics,x@kus,Groningen_and_Drenthe
11438-1464213359-1948641,sc@nect,lacx,nadact,s@,dor,@n,ocn@kecnd@,p@rson,ics,gc@kus,Groningen_and_Drenthe
115-1449080018-33409,sc@nect,lacx,nadact,s,dor,@n,ocn@kecnd@,p@son,ics,gc@kus,Groningen_and_Drenthe
11665-1464187367-1918809,z@nect,lacxt,nadact,s@,dor,@,ocnb@kecnd@,prson,ics,x@kust,Groningen_and_Drenthe
12233-1464296262-1980258,sc@nect,lacxt,n@dact,s,do,@n,ocnb@kecnd@,prson,ics,x@kust,Groningen_and_Drenthe
12421-1465571690-2286576,z@nect,lacx,nadact,s@,dor,@,ocn@kecnd@,p@son,ics,x@kus,Groningen_and_Drenthe
12923-1464631894-2156408,z@nect,lacxt,nadact,s@,dor,n,ocnb@kecnd@,pson,ics,gc@kust,Groningen_and_Drenthe
12987-1464604105-2144484,sc@nect,lacxt,nadact,s@,dor,n,ocnb@kecnd@,prson,ics,x@kust,Groningen_and_Drenthe
13042-1464200264-1931995,sc@nect,lacx,nadact,s@,do,@,ocn@kecnd@,p@son,ics,x@kus,Groningen_and_Drenthe
